Key,Value
CH0210483332,570b7a93-e4c8-43f7-8c47-53f5cb3a4396
XS2706984338,f783bd6e-2f75-4e9f-8400-523974d1d27d
FR0000120503,42ced5d8-1a3d-4491-9e9c-44202e683c59
FR0000120644,16613f03-cd1c-467e-bcc5-9ddeb73d3ab1
FR0000121014,175f6f35-a9d1-4950-9279-2024cb222f81
FR0000133308,7d82bd05-c0ea-4ad9-849e-fb94c358c618
FR0000120271,fde48e1b-19b6-4b43-8c31-a5ec038bd649
NL0000226223,4bd12925-c8b6-4ebb-988a-4bb58639cfd8
IE00B53L3W79,99015000-88ab-4251-a33d-66a9caedfa92
FREX00134582,
US013051EA13,dad6faf4-eddf-412a-a353-e3f0ec618c82
US135087Q560,15f835f1-c869-4fb3-a515-c5aba8b96e6a
US4642874329,fbb1465a-1a23-4c4e-ab7d-d461629813db
US22550L2L41,5a8d457b-28fd-4aa0-84a2-b3d64f3b07fd
US097023DG73,7e6f431a-0cd8-4359-a6f1-c5c40c7beba9
US87264ABR59,feda4184-02d5-4ec6-a38d-852a623866bf
US949746RW34,f9e93c86-afc1-4306-a72b-adbad5a8fa89
US92343VDD38,11e72a82-fce1-406e-9a1e-3938ae350695
US03027XAX84,ea6011dc-4476-4692-9fd1-d5aaf8626443
US11134LAH24,faada710-0848-4c85-81e7-9679cc13f358
US29736RAJ95,e6d9a3be-dc6d-4e64-be3a-d3e46a0c4a84
USN82008AU28,ac174935-75d7-48e0-9071-f7532e6ddb34
US87264AAT25,9f359a0e-5eca-464e-bc00-fc0c44ecc2e4
USJ5S39RAK09,642cd81c-4624-4834-be7b-6ef53dc66c6d
US494368CC54,1ea40dc3-52f7-44b1-bb99-0591001a7ef8
USX6000LAB00,7a52d843-c4a4-4602-9282-af539c1c23f9
US20030NEA54,76b61ab1-f9ed-4ff9-b972-c80ccf9d1f8e
US51808BAE20,003276cd-f2c1-4ccc-8ec2-4e97f267f1f8
