date,M12,Y7,Y20,Y50
2022-01-03,0.142514,0.184615,0.241146,0.293382
2022-01-04,0.142358,0.195573,0.267027,0.333054
2022-01-05,0.150098,0.190391,0.244494,0.294487
2022-01-06,0.150710,0.186194,0.233840,0.277867
2022-01-07,0.152860,0.194113,0.249504,0.300688
2022-01-10,0.157655,0.188851,0.230738,0.269443
2022-01-11,0.154497,0.163325,0.175178,0.186131
2022-01-12,0.152336,0.186414,0.232171,0.274452
2022-01-13,0.157621,0.182328,0.215503,0.246157
2022-01-14,0.158056,0.171911,0.190514,0.207705
2022-01-17,0.158690,0.187322,0.225768,0.261293
2022-01-18,0.168059,0.168824,0.169851,0.170801
2022-01-19,0.171995,0.159468,0.142647,0.127104
2022-01-20,0.175509,0.173138,0.169955,0.167013
2022-01-21,0.185673,0.194690,0.206797,0.217984
2022-01-24,0.191789,0.174764,0.151904,0.130780
2022-01-25,0.199683,0.157682,0.101286,0.049174
2022-01-26,0.200435,0.162385,0.111294,0.064083
2022-01-27,0.201792,0.159347,0.102356,0.049693
2022-01-28,0.191183,0.167902,0.136643,0.107758
2022-01-31,0.169881,0.149792,0.122818,0.097892
2022-02-01,0.163377,0.137781,0.103412,0.071655
2022-02-02,0.157790,0.147685,0.134118,0.121581
2022-02-03,0.165610,0.143564,0.113962,0.086608
2022-02-04,0.165871,0.153922,0.137877,0.123051
2022-02-07,0.164235,0.185419,0.213864,0.240148
2022-02-08,0.159286,0.175263,0.196715,0.216539
2022-02-09,0.152077,0.183460,0.225598,0.264536
2022-02-10,0.151626,0.181857,0.222448,0.259955
2022-02-11,0.164126,0.166086,0.168717,0.171148
2022-02-14,0.169992,0.157291,0.140237,0.124478
2022-02-15,0.162246,0.172506,0.186284,0.199015
2022-02-16,0.159854,0.180358,0.207889,0.233329
2022-02-17,0.168558,0.156730,0.140849,0.126175
2022-02-18,0.175768,0.155974,0.129395,0.104835
2022-02-21,0.177494,0.165523,0.149449,0.134597
2022-02-22,0.180180,0.159009,0.130583,0.104316
2022-02-23,0.187376,0.156474,0.114982,0.076642
2022-02-24,0.192093,0.153709,0.102171,0.054548
2022-02-25,0.178197,0.166972,0.151899,0.137970
2022-02-28,0.176891,0.164650,0.148214,0.133026
2022-03-01,0.191173,0.166316,0.132941,0.102100
2022-03-02,0.183443,0.168229,0.147799,0.128922
2022-03-03,0.188697,0.149006,0.095713,0.046469
