date,M12,Y7,Y20,Y50
2022-01-03,0.009107,0.009096,0.009082,0.009069
2022-01-04,0.008773,0.009176,0.009717,0.010216
2022-01-05,0.008537,0.009184,0.010053,0.010855
2022-01-06,0.008587,0.009134,0.009867,0.010545
2022-01-07,0.008464,0.009134,0.010033,0.010864
2022-01-10,0.008818,0.009261,0.009856,0.010407
2022-01-11,0.007817,0.009118,0.010864,0.012478
2022-01-12,0.008100,0.009203,0.010684,0.012053
2022-01-13,0.008180,0.009270,0.010733,0.012086
2022-01-14,0.008371,0.008958,0.009746,0.010475
2022-01-17,0.007966,0.008882,0.010110,0.011246
2022-01-18,0.008536,0.009173,0.010028,0.010818
2022-01-19,0.008268,0.009152,0.010339,0.011436
2022-01-20,0.008358,0.009158,0.010232,0.011224
2022-01-21,0.008772,0.009125,0.009598,0.010036
2022-01-24,0.008759,0.009342,0.010126,0.010851
2022-01-25,0.008454,0.009409,0.010692,0.011878
2022-01-26,0.008331,0.009242,0.010464,0.011594
2022-01-27,0.009058,0.009312,0.009655,0.009971
2022-01-28,0.008719,0.009249,0.009961,0.010618
2022-01-31,0.009192,0.009525,0.009972,0.010384
2022-02-01,0.008884,0.009370,0.010024,0.010628
2022-02-02,0.008936,0.009478,0.010206,0.010879
2022-02-03,0.008452,0.009050,0.009852,0.010594
2022-02-04,0.009200,0.009348,0.009547,0.009730
2022-02-07,0.009248,0.009755,0.010435,0.011064
2022-02-08,0.009283,0.009475,0.009733,0.009972
2022-02-09,0.009663,0.009588,0.009486,0.009392
2022-02-10,0.010018,0.009490,0.008781,0.008126
2022-02-11,0.009083,0.008759,0.008323,0.007920
2022-02-14,0.009513,0.009604,0.009727,0.009840
2022-02-15,0.007499,0.008859,0.010686,0.012375
2022-02-16,0.008916,0.009218,0.009624,0.009999
2022-02-17,0.008856,0.009118,0.009469,0.009794
2022-02-18,0.008780,0.009304,0.010007,0.010657
2022-02-21,0.009201,0.009527,0.009964,0.010369
2022-02-22,0.008993,0.009508,0.010199,0.010838
2022-02-23,0.008071,0.009211,0.010740,0.012153
2022-02-24,0.008734,0.010170,0.012099,0.013881
2022-02-25,0.009749,0.009801,0.009872,0.009936
2022-02-28,0.010578,0.011241,0.012132,0.012956
2022-03-01,0.010501,0.011301,0.012375,0.013367
2022-03-02,0.009115,0.010649,0.012709,0.014612
2022-03-03,0.009749,0.011304,0.013391,0.015319
2022-03-04,0.009463,0.011258,0.013669,0.015897
2022-03-07,0.010957,0.012074,0.013575,0.014961
2022-03-08,0.011010,0.011511,0.012185,0.012807
2022-03-09,0.010613,0.011816,0.013432,0.014924
2022-03-10,0.010269,0.011609,0.013409,0.015071
2022-03-11,0.010584,0.011751,0.013319,0.014767
2022-03-14,0.010459,0.011385,0.012629,0.013779
2022-03-15,0.010143,0.011688,0.013762,0.015679
2022-03-16,0.010708,0.011862,0.013412,0.014844
2022-03-17,0.010568,0.011807,0.013471,0.015009
2022-03-18,0.010332,0.011716,0.013574,0.015291
