date,M12,Y7,Y20,Y50
2022-01-03,0.001512,0.009038,0.019143,0.028481
2022-01-04,0.001571,0.009396,0.019901,0.029609
2022-01-05,0.001522,0.009098,0.019271,0.028671
2022-01-06,0.001495,0.008937,0.018929,0.028162
2022-01-07,0.001511,0.009036,0.019140,0.028476
2022-01-10,0.001520,0.009086,0.019245,0.028632
2022-01-11,0.001499,0.008965,0.018989,0.028252
2022-01-12,0.001522,0.009100,0.019275,0.028677
2022-01-13,0.001547,0.009250,0.019593,0.029151
2022-01-14,0.001567,0.009368,0.019842,0.029521
2022-01-17,0.001646,0.009839,0.020840,0.031005
2022-01-18,0.001586,0.009484,0.020089,0.029888
2022-01-19,0.001594,0.009531,0.020188,0.030036
2022-01-20,0.001622,0.009698,0.020542,0.030563
2022-01-21,0.001673,0.010002,0.021185,0.031519
2022-01-24,0.001706,0.010203,0.021611,0.032153
2022-01-25,0.001686,0.010078,0.021347,0.031760
2022-01-26,0.001710,0.010223,0.021653,0.032215
2022-01-27,0.001710,0.010226,0.021660,0.032225
2022-01-28,0.001752,0.010476,0.022189,0.033013
2022-01-31,0.001741,0.010410,0.022049,0.032805
2022-02-01,0.001760,0.010525,0.022293,0.033167
2022-02-02,0.001686,0.010080,0.021351,0.031767
2022-02-04,0.001751,0.010468,0.022173,0.032989
2022-02-07,0.001765,0.010555,0.022356,0.033261
2022-02-08,0.001708,0.010214,0.021635,0.032188
2022-02-09,0.001680,0.010046,0.021279,0.031659
2022-02-10,0.001704,0.010190,0.021584,0.032113
2022-02-11,0.001781,0.010650,0.022557,0.033561
2022-02-14,0.001829,0.010935,0.023162,0.034460
2022-02-15,0.001793,0.010719,0.022705,0.033781
2022-02-16,0.001810,0.010823,0.022925,0.034108
2022-02-17,0.001885,0.011270,0.023871,0.035516
2022-02-18,0.001899,0.011357,0.024055,0.035789
2022-02-21,0.001859,0.011117,0.023548,0.035035
2022-02-22,0.001915,0.011378,0.024084,0.035825
2022-02-23,0.001907,0.011404,0.024154,0.035937
2022-02-24,0.002453,0.011953,0.024709,0.036496
2022-02-25,0.001913,0.011404,0.024147,0.035923
2022-02-28,0.002171,0.011420,0.023840,0.035317
2022-03-01,0.001995,0.011667,0.024654,0.036655
2022-03-02,0.002171,0.011707,0.024510,0.036340
2022-03-03,0.002080,0.011570,0.024313,0.036088
2022-03-04,0.002244,0.012115,0.025368,0.037615
2022-03-07,0.002893,0.012858,0.026237,0.038600
2022-03-08,0.004230,0.014085,0.027318,0.039545
2022-03-09,0.004246,0.013632,0.026234,0.037879
2022-03-10,0.004467,0.014027,0.026864,0.038726
2022-03-11,0.004301,0.013817,0.026593,0.038399
2022-03-14,0.004398,0.013792,0.026405,0.038061
2022-03-15,0.004554,0.013709,0.026003,0.037363
2022-03-16,0.004577,0.012759,0.023745,0.033897
2022-03-17,0.003096,0.011229,0.022148,0.032239
2022-03-18,0.003043,0.011040,0.021777,0.031700
2022-03-21,0.002452,0.010576,0.021483,0.031562
2022-03-22,0.002775,0.010305,0.020417,0.029761
2022-03-23,0.002881,0.010815,0.021469,0.031314
2022-03-24,0.002859,0.010388,0.020498,0.029840
2022-03-25,0.003275,0.010836,0.020989,0.030371
2022-03-28,0.002296,0.010363,0.021195,0.031204
2022-03-29,0.001808,0.009828,0.020597,0.030548
2022-03-30,0.001794,0.009793,0.020533,0.030457
2022-03-31,0.001638,0.009791,0.020739,0.030856
2022-04-04,0.001636,0.009783,0.020722,0.030830
2022-04-05,0.001592,0.009519,0.020162,0.029997
2022-04-06,0.002175,0.010180,0.020929,0.030861
2022-04-07,0.001847,0.009998,0.020942,0.031055
2022-04-08,0.001916,0.010112,0.021116,0.031285
2022-04-11,0.001802,0.010249,0.021592,0.032073
2022-04-12,0.002699,0.010985,0.022111,0.032392
2022-04-13,0.002489,0.010839,0.022051,0.032412
2022-04-14,0.002400,0.010586,0.021578,0.031735
2022-04-15,0.002433,0.010582,0.021524,0.031635
2022-04-18,0.002135,0.010947,0.022779,0.033712
2022-04-19,0.001748,0.010451,0.022138,0.032936
2022-04-20,0.002151,0.010731,0.022252,0.032897
2022-04-21,0.002879,0.011519,0.023120,0.033839
2022-04-22,0.003094,0.011838,0.023578,0.034427
2022-04-25,0.003595,0.012192,0.023736,0.034403
2022-04-26,0.003582,0.012172,0.023705,0.034363
2022-04-27,0.002524,0.011406,0.023332,0.034352
2022-04-28,0.002930,0.011888,0.023915,0.035029
2022-04-29,0.002074,0.011001,0.022988,0.034064
2022-05-02,0.002421,0.011984,0.024825,0.036691
2022-05-03,0.001987,0.011221,0.023619,0.035075
2022-05-04,0.002277,0.011559,0.024024,0.035541
2022-05-05,0.001913,0.011436,0.024224,0.036040
2022-05-06,0.002057,0.011513,0.024210,0.035943
2022-05-09,0.003062,0.012599,0.025405,0.037237
2022-05-10,0.002986,0.012225,0.024631,0.036094
2022-05-11,0.001903,0.011293,0.023901,0.035552
2022-05-12,0.002730,0.011400,0.023042,0.033800
2022-05-13,0.003593,0.012345,0.024096,0.034954
2022-05-16,0.003735,0.012480,0.024221,0.035071
2022-05-17,0.003294,0.012141,0.024020,0.034997
2022-05-18,0.003846,0.012845,0.024928,0.036093
2022-05-19,0.004038,0.013056,0.025164,0.036352
2022-05-20,0.004178,0.013229,0.025381,0.036610
2022-05-23,0.003718,0.012670,0.024689,0.035796
2022-05-24,0.003966,0.012623,0.024246,0.034986
2022-05-25,0.002957,0.011503,0.022977,0.033579
2022-05-26,0.003142,0.011204,0.022029,0.032032
2022-05-27,0.002744,0.010916,0.021888,0.032027
2022-05-30,0.004011,0.011882,0.022452,0.032218
2022-05-31,0.001667,0.009841,0.020817,0.030960
2022-06-01,0.002727,0.010463,0.020851,0.030449
2022-06-02,0.001825,0.010166,0.021365,0.031714
2022-06-03,0.002000,0.010312,0.021474,0.031787
2022-06-06,0.002142,0.010047,0.020662,0.030471
2022-06-07,0.001773,0.009973,0.020983,0.031157
2022-06-08,0.001973,0.010266,0.021401,0.031690
2022-06-09,0.002311,0.010545,0.021601,0.031817
2022-06-10,0.002786,0.011299,0.022729,0.033291
2022-06-13,0.003647,0.012170,0.023615,0.034191
2022-06-14,0.003227,0.011982,0.023738,0.034601
2022-06-15,0.004511,0.012918,0.024206,0.034637
2022-06-16,0.004549,0.013355,0.025180,0.036107
2022-06-17,0.003708,0.012173,0.023539,0.034042
2022-06-20,0.004078,0.012833,0.024589,0.035451
2022-06-21,0.003199,0.011706,0.023128,0.033682
2022-06-22,0.004321,0.012337,0.023100,0.033045
2022-06-23,0.004878,0.012620,0.023015,0.032620
2022-06-24,0.003920,0.011850,0.022498,0.032337
2022-06-27,0.004502,0.012068,0.022226,0.031613
2022-06-28,0.004783,0.012790,0.023540,0.033475
2022-06-29,0.004436,0.012333,0.022937,0.032735
2022-06-30,0.004676,0.012398,0.022766,0.032347
2022-07-01,0.005389,0.013385,0.024121,0.034041
2022-07-04,0.005593,0.013633,0.024429,0.034404
2022-07-05,0.004601,0.012939,0.024133,0.034477
2022-07-06,0.003859,0.012425,0.023926,0.034553
2022-07-07,0.003691,0.011883,0.022883,0.033048
2022-07-08,0.002777,0.011293,0.022727,0.033293
2022-07-11,0.002737,0.010923,0.021915,0.032072
2022-07-12,0.003106,0.011267,0.022225,0.032351
2022-07-13,0.003057,0.011241,0.022230,0.032384
2022-07-14,0.003748,0.011746,0.022484,0.032407
2022-07-15,0.003089,0.011288,0.022297,0.032469
2022-07-18,0.002536,0.010880,0.022084,0.032437
2022-07-19,0.002332,0.010623,0.021756,0.032044
2022-07-20,0.002400,0.010586,0.021578,0.031735
2022-07-21,0.003152,0.010940,0.021397,0.031060
2022-07-22,0.003230,0.011045,0.021540,0.031237
2022-07-25,0.002403,0.010976,0.022487,0.033123
2022-07-26,0.002346,0.010882,0.022343,0.032933
2022-07-27,0.001980,0.010175,0.021179,0.031347
2022-07-28,0.001785,0.010605,0.022448,0.033391
2022-07-29,0.002949,0.010817,0.021381,0.031143
2022-08-01,0.002038,0.011044,0.023138,0.034313
2022-08-02,0.002472,0.011000,0.022451,0.033033
2022-08-03,0.002982,0.011659,0.023310,0.034076
2022-08-04,0.002477,0.011211,0.022938,0.033775
2022-08-05,0.002543,0.011405,0.023303,0.034297
2022-08-08,0.002838,0.011754,0.023726,0.034789
2022-08-09,0.002578,0.011718,0.023990,0.035330
2022-08-10,0.002497,0.011471,0.023521,0.034656
2022-08-11,0.001811,0.010827,0.022934,0.034121
2022-08-12,0.001808,0.010808,0.022893,0.034060
2022-08-15,0.002406,0.010962,0.022450,0.033065
2022-08-16,0.002109,0.011101,0.023175,0.034332
2022-08-17,0.001941,0.010945,0.023035,0.034207
2022-08-18,0.002653,0.011349,0.023026,0.033816
2022-08-19,0.003045,0.011674,0.023260,0.033967
2022-08-22,0.002163,0.011289,0.023541,0.034863
2022-08-23,0.002562,0.011122,0.022617,0.033238
2022-08-24,0.001791,0.010710,0.022685,0.033751
2022-08-25,0.001820,0.010423,0.021975,0.032650
2022-08-26,0.001837,0.010613,0.022397,0.033285
2022-08-29,0.002545,0.011134,0.022666,0.033322
2022-08-30,0.002693,0.011231,0.022696,0.033289
2022-08-31,0.002150,0.010991,0.022862,0.033831
2022-09-01,0.003176,0.012072,0.024015,0.035052
2022-09-02,0.002248,0.011417,0.023729,0.035105
2022-09-05,0.003395,0.012242,0.024122,0.035099
2022-09-06,0.002926,0.012042,0.024282,0.035592
2022-09-07,0.002512,0.011629,0.023870,0.035182
2022-09-08,0.002474,0.011282,0.023109,0.034038
2022-09-09,0.002577,0.011402,0.023252,0.034202
2022-09-12,0.002904,0.011715,0.023546,0.034478
2022-09-13,0.001861,0.011129,0.023573,0.035071
2022-09-14,0.002031,0.011136,0.023360,0.034656
2022-09-15,0.002251,0.011150,0.023097,0.034138
2022-09-16,0.002121,0.011315,0.023661,0.035069
2022-09-19,0.002476,0.011400,0.023382,0.034454
2022-09-20,0.002922,0.011914,0.023987,0.035143
2022-09-21,0.001876,0.011216,0.023757,0.035345
2022-09-22,0.002073,0.011542,0.024255,0.036002
2022-09-23,0.002412,0.011807,0.024423,0.036081
2022-09-26,0.002734,0.012449,0.025494,0.037547
2022-09-27,0.004172,0.013978,0.027146,0.039313
2022-09-28,0.003486,0.013677,0.027361,0.040006
2022-09-29,0.003825,0.014185,0.028095,0.040949
2022-09-30,0.002650,0.013175,0.027308,0.040368
2022-10-03,0.003240,0.013455,0.027171,0.039845
2022-10-04,0.002326,0.012372,0.025862,0.038327
2022-10-05,0.002437,0.012522,0.026064,0.038577
2022-10-06,0.002144,0.012166,0.025624,0.038060
2022-10-07,0.002753,0.012670,0.025986,0.038291
2022-10-10,0.003322,0.013656,0.027532,0.040354
2022-10-11,0.003292,0.013426,0.027034,0.039607
2022-10-12,0.003741,0.013873,0.027479,0.040051
2022-10-13,0.004109,0.014284,0.027945,0.040568
2022-10-14,0.002735,0.013287,0.027456,0.040549
2022-10-17,0.003464,0.013562,0.027121,0.039650
2022-10-18,0.003068,0.013134,0.026650,0.039140
2022-10-19,0.003860,0.013699,0.026911,0.039119
2022-10-20,0.003147,0.013075,0.026405,0.038723
2022-10-21,0.003695,0.013625,0.026957,0.039277
2022-10-24,0.002610,0.012645,0.026119,0.038569
2022-10-25,0.002651,0.012965,0.026813,0.039610
2022-10-26,0.002366,0.012702,0.026582,0.039407
2022-10-27,0.003354,0.013486,0.027090,0.039661
2022-10-28,0.002109,0.012611,0.026712,0.039742
2022-10-31,0.002124,0.012697,0.026894,0.040013
2022-11-01,0.002030,0.012140,0.025713,0.038256
