id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
8b00cf3c-064a-48ce-82d3-66b0fbce1d94,,,6,6,6,0.008818,0.008818,0.008818
a72cae23-6993-4238-ac99-42a922096842,,,6,6,30,0.072305,0.056007,0.056007
e957d2a9-6cf6-4dda-ab99-fe77c27eaede,,,6,6,30,0.032656,0.025295,0.025295
4fde88bd-e982-483a-9a6e-f4e9d92cbe7f,11388657902.505899,0,6,6,30,-0.002388,-0.001850,-0.001850
073f4e65-1a66-45c3-bf7c-65527c43c178,,,6,6,30,0.088288,0.068388,0.068388
465a945d-ac8c-4b4b-b575-6e5739d74d3c,,,6,6,30,0.009511,0.007367,0.007367
40e9287b-045c-4aa0-8c3e-e86351563a60,,,6,6,9,-0.006037,-0.005955,-0.005955
f37cbcda-beeb-4b6b-9dac-f1d0e8364676,,,9,9,30,0.018542,0.014949,0.014949
a94d0feb-4441-4ce9-a649-5abd7ab1fed1,1776093549411.110107,0,9,9,30,0.063174,0.050932,0.050932
92171a41-f13e-45f9-9fa5-ac3926fcb345,,,6,6,30,0.154201,0.119443,0.119443
a14d48f7-aa09-490d-ac23-53a1b7d1736b,,,6,6,30,-0.003448,-0.002671,-0.002671
03ddce6d-1482-44e3-8474-6d1440927900,,,11,11,11,0.261049,0.261049,0.261049
23f6ebac-02fc-4df9-96bb-9fb063cfcb3e,,,6,6,30,-0.001507,-0.001167,-0.001167
600ca2a2-02d6-43f3-9742-f6a1c27fdc13,,,6,6,30,-0.001222,-0.000946,-0.000946
6019fb90-2e88-4a2f-92e5-9179eeeb9583,6584248662.618900,2,6,6,30,0.017384,0.013465,0.013465
4006f2b1-8c48-42e4-9954-08ebe5dd24ca,98817703125.000000,0,6,6,30,0.064325,0.049826,0.049826
c46d5453-0ee6-495f-adad-c79dbd78c2e1,,,6,6,30,0.008504,0.006587,0.006587
a219fb75-ea81-4079-b736-ccc2592b10ec,,,9,9,9,,,
b4503fb6-0c9e-47da-a824-bf6a4c1e52e4,,,9,9,30,0.151163,0.121872,0.121872
04efcce4-0acc-4c6f-a028-0b6779f0aace,452174130.134200,20,9,9,30,0.006993,0.005638,0.005638
54c0b6ec-5cc5-43b2-9ea8-064e22b404b2,,,0,,,,,
22582866-363f-4fb6-8470-4695551aec58,15684087890.625000,0,6,6,30,0.019973,0.015471,0.015471
c3fd8495-c87c-4199-a135-14f5c2cf5907,32536675373.369198,0,6,6,30,0.003162,0.002449,0.002449
b0ca5aea-f520-4275-9f80-2c12e492530b,1260186184.526600,13,6,6,30,0.009509,0.007365,0.007365
685ead9f-6ff5-4d47-bd9f-8135e981be9e,,,6,6,30,0.007001,0.005423,0.005423
