id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
bcb8fbf0-4267-4817-a3be-c544c1efa00f,2192166748.046900,9,0,0,,0.473249,0.473249,0.473249
cedb6b04-7f30-4179-b0cb-e34d2d1c6fc0,79122810.363800,30,0,0,,0.229649,0.229649,0.229649
e471db25-62cb-4955-a622-0af66b642b73,4857275.167700,30,0,0,,0.351493,0.351493,0.351493
313a06cb-0f4f-485d-8415-f9963092907d,8879284179.687500,0,0,0,,0.156624,0.156624,0.156624
3a616ff3-2e7e-4849-a730-0091aa62c8a7,734212463.378900,17,0,0,,0.417742,0.417742,0.417742
7b759c25-17eb-491f-a059-ab8f668bbcfe,79526863.098100,30,0,0,,0.304106,0.304106,0.304106
a161a5de-2944-4d8d-a922-f6c756a61cd6,4451335960.356501,5,0,0,,0.225962,0.225962,0.225962
115fa166-71eb-41ab-b3dd-74a291a665fd,2175937183.488200,9,0,0,,0.129120,0.129120,0.129120
242e0c6f-c90f-46de-a8f1-92da982c44af,3531640869.802500,6,0,0,,0.215077,0.215077,0.215077
4d2edcb3-b8de-438b-9de1-e0f511a6da22,79046521.228700,30,0,0,,0.247485,0.247485,0.247485
3490f3b7-db2e-4584-9336-52ff5a2f2ef7,13902501.392800,30,0,0,,0.485026,0.485026,0.485026
85961c58-3b6b-485f-b451-8c36ad774356,2500107421.875000,9,0,0,,0.222178,0.222178,0.222178
97e6221c-ec9d-4029-9abe-bf1463d04cc2,51196390625.000000,0,0,0,,0.204005,0.204005,0.204005
8c93c6f2-c525-4181-8001-89604136321e,2093889658.860600,10,0,0,,0.176807,0.176807,0.176807
1fa9741a-7609-407d-b28c-b755e861ffe8,423856540.642600,20,0,0,,0.106386,0.106386,0.106386
545cd821-e1fa-4dbb-aed4-54530d4fa572,,,0,0,,0.135789,0.135789,0.135789
c6f2553e-9e04-4701-ac78-0c9ee9f17168,334523107.315400,22,0,0,,0.675717,0.675717,0.675717
fefefffb-70e8-4f46-847c-6682f68630c3,56519222.400500,30,0,0,,0.415382,0.415382,0.415382
f396869d-86bf-48ef-9546-ac50d5de5e5c,2718963863.608000,8,0,0,,0.286744,0.286744,0.286744
f3481191-573c-4cb1-af94-bcf2c3a1a0ed,74659968750.000000,0,0,0,,0.349012,0.349012,0.349012
24a421b9-72e6-47ad-92e9-700d77409383,105046241.760300,29,0,0,,0.272896,0.272896,0.272896
0a124ca8-7f83-4668-a7d5-e99316389a19,23170523.170900,30,0,0,,0.315631,0.315631,0.315631
