id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
8b00cf3c-064a-48ce-82d3-66b0fbce1d94,,,6,6,,0.008707,0.008707,0.008707
a72cae23-6993-4238-ac99-42a922096842,,,6,6,30,0.071097,0.055072,0.055072
e957d2a9-6cf6-4dda-ab99-fe77c27eaede,,,6,6,30,0.032823,0.025424,0.025424
4fde88bd-e982-483a-9a6e-f4e9d92cbe7f,11533747971.581100,0,6,6,30,-0.002432,-0.001884,-0.001884
073f4e65-1a66-45c3-bf7c-65527c43c178,,,6,6,30,0.087911,0.068096,0.068096
465a945d-ac8c-4b4b-b575-6e5739d74d3c,,,6,6,30,0.009479,0.007342,0.007342
40e9287b-045c-4aa0-8c3e-e86351563a60,,,6,6,6,-0.005989,-0.005989,-0.005989
f37cbcda-beeb-4b6b-9dac-f1d0e8364676,,,9,9,30,0.018489,0.014906,0.014906
a94d0feb-4441-4ce9-a649-5abd7ab1fed1,1757033972296.640137,0,9,9,30,0.063296,0.051031,0.051031
92171a41-f13e-45f9-9fa5-ac3926fcb345,,,6,6,30,0.149535,0.115829,0.115829
a14d48f7-aa09-490d-ac23-53a1b7d1736b,,,6,6,30,-0.003390,-0.002626,-0.002626
03ddce6d-1482-44e3-8474-6d1440927900,,,11,11,,0.252908,0.252908,0.252908
23f6ebac-02fc-4df9-96bb-9fb063cfcb3e,,,6,6,30,-0.001534,-0.001188,-0.001188
600ca2a2-02d6-43f3-9742-f6a1c27fdc13,,,6,6,30,-0.001360,-0.001053,-0.001053
6019fb90-2e88-4a2f-92e5-9179eeeb9583,6633607132.915700,2,6,6,30,0.017020,0.013184,0.013184
4006f2b1-8c48-42e4-9954-08ebe5dd24ca,99969445312.500000,0,6,6,30,0.064791,0.050187,0.050187
c46d5453-0ee6-495f-adad-c79dbd78c2e1,,,6,6,30,0.008486,0.006573,0.006573
a219fb75-ea81-4079-b736-ccc2592b10ec,,,9,9,,,,
b4503fb6-0c9e-47da-a824-bf6a4c1e52e4,,,9,9,30,0.150945,0.121696,0.121696
04efcce4-0acc-4c6f-a028-0b6779f0aace,451066154.560600,20,9,9,30,0.004641,0.003742,0.003742
54c0b6ec-5cc5-43b2-9ea8-064e22b404b2,,,0,,,,,
22582866-363f-4fb6-8470-4695551aec58,15727202148.437500,0,6,6,30,0.019914,0.015425,0.015425
c3fd8495-c87c-4199-a135-14f5c2cf5907,33107317952.096897,0,6,6,30,0.002939,0.002277,0.002277
b0ca5aea-f520-4275-9f80-2c12e492530b,1244146325.997000,13,6,6,30,0.009448,0.007318,0.007318
685ead9f-6ff5-4d47-bd9f-8135e981be9e,,,6,6,30,0.006968,0.005398,0.005398
faebb20c-07bc-41b9-af5f-0e38319396a6,75236899116.698303,0,6,6,30,0.023124,0.017912,0.017912
c7828d73-c6c4-4f4e-a94b-7c86589c2e51,,,6,6,30,0.035859,0.027776,0.027776
dd68276d-31c4-4cc0-aed7-315110ef1e2c,81543320312.500000,0,6,6,30,0.124721,0.096609,0.096609
f04c2070-8b8f-497c-87aa-0971e72746d4,16882706934.463499,0,6,6,30,0.007531,0.005833,0.005833
dd4d3312-e4b9-4494-beea-47f7f26c1a99,111412992187.500000,0,6,6,30,-0.001934,-0.001498,-0.001498
6be0717e-49eb-480f-b602-b160e97c27df,,,6,6,,0.004584,0.004584,0.004584
242bf67d-9c90-4634-9bbb-e7354fce380e,179872781250.000000,0,6,6,30,0.057512,0.044548,0.044548
8cbb1a73-b73f-4e1b-a629-b465d7aade17,,,6,6,30,0.009943,0.007702,0.007702
2e308237-f884-4444-a936-f29e68bfce06,7622365159.780700,1,9,9,30,0.022090,0.017810,0.017810
339af4c7-da0c-474e-8683-0ec41eb6f5b8,,,6,6,,0.019649,0.019649,0.019649
48bdea37-70dd-4719-b699-6723506016ec,616860187500.000000,0,6,6,30,0.021540,0.016685,0.016685
591deef1-f30c-4d06-89a1-f4da05aea3bb,54872139.607200,30,6,6,,0.002342,0.002342,0.002342
8c33e232-b7e9-4555-808d-774a15133a1e,113590125000.000000,0,6,6,30,0.015901,0.012317,0.012317
f0200fe9-e175-49da-9786-0beda62f8b90,,,6,6,,0.086588,0.086588,0.086588
6c5b3e51-9181-4caa-8cff-abcb1955742a,,,9,9,30,0.021742,0.017529,0.017529
9a47d2db-3696-4667-bd2e-c720d1343e2a,,,6,6,30,0.024104,0.018671,0.018671
309b7301-d814-4e64-a99d-b6ceb656d2e1,,,6,6,,0.005774,0.005774,0.005774
8d82f093-3ba4-4a64-bc05-b131a90838fc,,,6,6,30,0.401196,0.310765,0.310765
17d86eac-aefb-4724-89e3-8dfc7b343dae,158841859375.000000,0,6,6,30,0.012335,0.009555,0.009555
2d60fe31-4432-4b93-8601-39a7e34c6b47,,,6,6,,0.162410,0.162410,0.162410
59d31bd7-6873-4230-9505-e3e107c8a5b5,306270531250.000000,0,6,6,30,0.011981,0.009281,0.009281
d85328a0-5b8e-44c7-9b85-9726114b0e75,113529470555.179001,0,6,6,30,0.016403,0.012706,0.012706
c3366fe9-71aa-4292-81f5-67f2fae2f4b0,38766299265.338295,0,6,6,30,0.026809,0.020766,0.020766
2dd522a2-3b89-418a-8e77-6231b65a33e4,,,6,6,30,-0.000525,-0.000407,-0.000407
f76c5115-6e2d-4eb8-8df7-42ce23bd0d74,91796546875.000000,0,6,6,30,0.102741,0.079583,0.079583
