id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
bcb8fbf0-4267-4817-a3be-c544c1efa00f,2268041748.046900,9,0,0,5,0.483236,0.447390,0.447390
cedb6b04-7f30-4179-b0cb-e34d2d1c6fc0,79122810.363800,30,0,0,27,0.321873,0.235587,0.235587
e471db25-62cb-4955-a622-0af66b642b73,4859237.782700,30,0,0,30,0.511396,0.361612,0.361612
313a06cb-0f4f-485d-8415-f9963092907d,8973972656.250000,0,0,0,3,0.167644,0.159842,0.159842
3a616ff3-2e7e-4849-a730-0091aa62c8a7,726521301.269500,17,0,0,11,0.502819,0.430111,0.430111
7b759c25-17eb-491f-a059-ab8f668bbcfe,77846725.463900,30,0,0,23,0.430759,0.324084,0.324084
a161a5de-2944-4d8d-a922-f6c756a61cd6,4505134785.016601,5,0,0,14,0.268974,0.222098,0.222098
115fa166-71eb-41ab-b3dd-74a291a665fd,2138452506.603000,10,0,0,22,0.177665,0.134946,0.134946
242e0c6f-c90f-46de-a8f1-92da982c44af,3652403342.753400,6,0,0,14,0.271222,0.223954,0.223954
4d2edcb3-b8de-438b-9de1-e0f511a6da22,87029737.219700,30,0,0,29,0.358068,0.255329,0.255329
3490f3b7-db2e-4584-9336-52ff5a2f2ef7,14079293.501100,30,0,0,30,0.742368,0.524933,0.524933
85961c58-3b6b-485f-b451-8c36ad774356,2567546142.578100,8,0,0,9,0.259683,0.227757,0.227757
97e6221c-ec9d-4029-9abe-bf1463d04cc2,50454667968.750000,0,0,0,0,0.212411,0.212411,0.212411
8c93c6f2-c525-4181-8001-89604136321e,2173652025.600100,9,0,0,25,0.242571,0.179151,0.179151
1fa9741a-7609-407d-b28c-b755e861ffe8,431000676.956000,20,0,0,30,0.143485,0.101459,0.101459
545cd821-e1fa-4dbb-aed4-54530d4fa572,,,0,0,27,0.195934,0.142145,0.142145
c6f2553e-9e04-4701-ac78-0c9ee9f17168,300702423.597700,22,0,0,20,0.837845,0.648992,0.648992
fefefffb-70e8-4f46-847c-6682f68630c3,56755315.397200,30,0,0,30,0.615783,0.435425,0.435425
f396869d-86bf-48ef-9546-ac50d5de5e5c,2813235727.833200,8,0,0,20,0.394277,0.305406,0.305406
f3481191-573c-4cb1-af94-bcf2c3a1a0ed,64976671875.000000,0,0,0,0,0.375721,0.375721,0.375721
24a421b9-72e6-47ad-92e9-700d77409383,105046241.760300,29,0,0,27,0.395655,0.287038,0.287038
0a124ca8-7f83-4668-a7d5-e99316389a19,22569888.968500,30,0,0,30,0.432501,0.305824,0.305824
c8eb1993-efc7-462d-bab4-1064c3e4214a,762921838.983000,16,0,0,30,0.227400,0.160796,0.160796
d62e9e3d-5a2a-4be7-9160-05af98d5cc2c,681259887.106600,17,0,0,22,0.182900,0.138923,0.138923
a4f8f64a-75f8-48c7-bdee-690204c9ea9b,153352020.263700,27,0,0,18,0.648000,0.512289,0.512289
56f8641d-01ff-4f79-a56c-456c24a0856a,2436951230.396100,9,10,10,18,0.170532,0.155673,0.155673
b2e5d75a-8ca3-4c18-8174-acbf59f51ad9,31662635.302300,30,0,0,30,0.224879,0.159013,0.159013
34b7f090-77be-4d35-a9d2-9a0c0dec05a5,6619272433.027800,2,0,0,7,0.143163,0.128911,0.128911
d3e814d1-984c-456d-841e-354c34b6888e,44644799.367500,30,0,0,30,0.208318,0.147303,0.147303
3dc396c5-a5b8-4dbc-b7b7-098f82f07968,325191032.608100,22,0,0,23,0.359758,0.270665,0.270665
8dc8e35f-fe41-4b8f-85a5-1be321cdc541,446857453.844400,20,0,0,27,0.251604,0.182533,0.182533
2ddf3e58-c3f5-4507-8c1a-8ed781f8f122,21100794.372800,30,0,0,30,0.580622,0.410562,0.410562
c546500d-19f9-49a5-b335-2a00e1828702,85773156411.300995,0,0,0,0,0.318050,0.318050,0.318050
c5be1e9a-3054-4e24-9fd3-9460aacbb08c,3912326.100500,30,0,0,30,1.099615,0.777545,0.777545
232b911f-bc63-47bd-aba5-28e7d8c9c724,26248743.465100,30,0,0,30,0.090218,0.063794,0.063794
58d2089c-9a96-466e-84da-0c77f441b0b0,4520778075.984600,5,0,0,17,0.377511,0.301607,0.301607
527ee719-8fd0-4525-bcd4-a8a6b753b8df,961176677.555400,15,0,0,27,0.155723,0.112973,0.112973
8fbebf05-de21-4a85-b10f-a11de29a319b,2038623.094600,30,0,0,29,0.918599,0.655029,0.655029
7dee3bae-4298-4add-9dfd-5deb65ad02b3,1423267089.843800,12,0,0,15,0.643584,0.525485,0.525485
3d998067-87ff-4bc4-bac5-915cae3e44a2,12294770559.532501,0,0,0,7,0.227818,0.205139,0.205139
33de801a-7754-4789-b3da-2065cb3bbf03,354519784.899500,21,0,0,24,0.234145,0.174521,0.174521
310ff199-719b-460b-871e-fceed2653b9f,63174506.352700,30,0,0,30,0.625711,0.442445,0.442445
825a90ae-5e92-4451-aae9-5d213ed36fed,1146649707.383900,14,10,10,20,0.327549,0.292969,0.292969
bffdb0c2-4a7e-44f0-a974-e9a91c0a1809,9291708007.812500,0,0,0,2,0.179203,0.173512,0.173512
5e26e460-d17f-4a98-872f-50c062ac8bc4,287609995.665700,23,0,0,17,0.271627,0.217013,0.217013
c8b30ddc-5f47-4be2-9f40-27e742dffaf7,4647823664.180300,4,0,0,13,0.232868,0.194508,0.194508
4c4182f8-d423-485a-87d3-949f10dc52b7,328926678.345400,22,0,0,30,0.730469,0.516520,0.516520
da84760a-4cae-4ff7-a9cb-9d7d5b080d28,387330360.133600,21,0,0,19,0.449153,0.351445,0.351445
a3a42ee1-dabe-49fa-ac3b-51c70b46c724,3861097946.088300,6,0,0,20,0.318853,0.246982,0.246982
17199bbf-b261-43b3-a368-f99746af0d04,8016491049.056100,1,0,0,18,0.258564,0.204413,0.204413
640559a6-32d0-4231-aee4-db2e6c5b35f1,19339199.955100,30,0,0,30,0.453972,0.321007,0.321007
2804baad-edb7-4136-b8da-04ea628c3f43,1630503418.095700,11,0,0,18,0.245657,0.194209,0.194209
9b37879d-5aca-4e61-8dc9-4f201ad8e950,55179367.542600,30,0,0,30,0.404722,0.286181,0.286181
315f029a-b149-4a26-8ad7-68ac52ad7eed,7722139459.234000,1,0,0,10,0.168623,0.146032,0.146032
b98dab50-7272-4136-b824-d46effec83dc,113652577.152000,29,0,0,22,0.683899,0.519459,0.519459
1de32d95-3bc4-48dc-86f3-bc41ab908fec,286880248.554900,23,0,0,29,0.224137,0.159826,0.159826
