id,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
0895aa88-e8eb-4c5c-8e06-8bfc5061326c,6,6,30,0.014328,0.011098,0.011098
6ee16006-c096-4f6b-aee3-3d689a63ccf6,6,6,6,0.006933,0.006933,0.006933
7596445f-3102-4f1e-9853-fd336aea9427,6,6,30,0.010566,0.008184,0.008184
4694a218-52dd-4fbe-9069-170d30e10d43,6,6,30,0.048841,0.037832,0.037832
6dbeaf7b-0786-46a2-bc4a-75942d80071b,6,6,6,0.011329,0.011329,0.011329
94680d42-08ac-4b97-a49d-cc50f6397330,6,6,30,0.004006,0.003103,0.003103
478c92c6-edd9-4e05-9a64-eb22f6a7cacd,6,6,30,0.112611,0.087228,0.087228
bf508534-3b70-42b6-93dd-86b4e68ab927,6,6,30,0.075382,0.058391,0.058391
9cc3e90d-f3c6-4d2e-9380-c540bfb64fa4,6,6,30,0.020277,0.015707,0.015707
7eef13bf-4c23-404a-99ea-6ca3762d7e73,6,6,30,0.042127,0.032632,0.032632
e873b96d-6522-4364-8071-9e6b3d631b51,6,6,30,0.020377,0.015784,0.015784
614389b5-24d8-4924-b7a1-1cc743b3e9e8,6,6,30,0.014327,0.011098,0.011098
fc481576-9917-42f0-a753-032bd569c481,6,6,30,0.005796,0.004490,0.004490
5dd9bd4b-b4c0-4026-b3b1-7496234faebc,11,11,11,-0.003076,-0.003076,-0.003076
6565d906-052c-40a9-81d8-5e2c2a03fcab,6,6,30,0.006564,0.005085,0.005085
b286cad5-15d3-460a-a05f-51f5f39a6c70,6,6,30,0.000817,0.000633,0.000633
cb8596bd-70c0-4428-841d-70ef7adc282a,6,6,6,0.000402,0.000402,0.000402
4ffe69f6-48ec-41d2-8e1d-479382b43978,6,6,30,-0.005364,-0.004155,-0.004155
32313310-07cf-4f24-ac73-8c76e86c432b,11,,,,,
6e04a126-3ba1-457d-ac22-2dcab42261c4,6,6,6,-0.004400,-0.004400,-0.004400
c76a0671-9128-420b-bcbb-4e7f71e480d2,11,,,,,
dc87f743-a46b-45da-9146-926c24a25d23,11,11,11,0.001147,0.001147,0.001147
42f52f8b-780b-48d9-8f66-99a197e95156,6,6,30,-0.003667,-0.002840,-0.002840
d4d2fa5a-5e76-4785-b5f2-e8ec8ac14d7f,11,,,,,
1b7365b7-93af-40fa-9115-61603657e5be,11,,,,,
611d806b-eb73-43de-9778-e7b27a08b3d4,11,,,,,
1c808fc9-022d-4e9a-8ca3-b0f5e7f0eb77,9,9,30,0.001313,0.001058,0.001058
1793e409-776f-4307-b8bc-5e6e93540c8e,9,9,30,0.016833,0.013571,0.013571
b9a750bb-9753-4092-8120-25dbd763f640,9,9,30,0.000059,0.000047,0.000047
4420ea84-9bbb-4ad6-9106-47c67dad6cc4,6,6,30,-0.003080,-0.002386,-0.002386
3c311162-fd43-47f8-9deb-222bc336649d,11,,,,,
95b2668e-198b-4f9e-a2db-f171f0857079,6,6,30,0.007215,0.005588,0.005588
cbe8e5bb-697c-4a85-a5e5-a04b1db4e2a7,11,11,30,0.007595,0.006279,0.006279
02f33aa6-dd29-4bc6-bf75-fb54e50c4f90,6,6,30,0.048065,0.037231,0.037231
1faa3b5b-62b0-46cb-a562-0dceb874cf2b,6,6,30,-0.006363,-0.004929,-0.004929
082ab128-743d-4040-9008-de78bdce6daf,6,6,6,0.028171,0.028171,0.028171
82cafd46-e133-4cda-8fdd-ee3ab4a859cb,6,6,30,0.010274,0.007958,0.007958
721f72f5-cb23-455e-a9c8-2e125980d971,6,6,30,-0.004191,-0.003246,-0.003246
e18c8f34-0d32-48ed-b73a-7788060c7278,6,6,30,0.005169,0.004004,0.004004
16250eba-5db1-474b-b69a-6ff2c0010655,6,6,30,0.013798,0.010688,0.010688
d5153483-350a-4345-a1ef-baf388186f25,6,6,30,0.022215,0.017207,0.017207
ec3a3982-f882-4882-ba98-0817db60a0a6,6,6,30,0.067966,0.052646,0.052646
50aea183-e9a8-4de8-a538-0ec04eaed674,6,6,30,0.023803,0.018437,0.018437
31e0a9b0-8fe1-4400-9113-54009c988fc6,6,6,30,0.043716,0.033862,0.033862
8c58dd53-b664-4ace-a07c-a286bad8c0a6,6,6,30,0.005198,0.004026,0.004026
e063db3d-e58b-42d5-a0b1-938f18231add,6,6,30,0.061220,0.047421,0.047421
52ed6654-0a12-4268-a091-0f36a578c874,6,6,30,0.000812,0.000629,0.000629
91087a1e-0b70-4aca-9f89-899135dc4e54,6,6,30,0.018886,0.014629,0.014629
87d772fe-7bd3-420e-a00d-05a892e67d14,6,6,30,0.009712,0.007523,0.007523
355db7b3-bdf8-41d5-b29a-a312ffb1b52a,6,6,30,0.024627,0.019076,0.019076
570c7055-0d66-491f-86d2-f577fd042fea,6,6,30,,,
0ca20eae-995f-446c-be5f-699a933868f9,6,6,30,0.038765,0.030027,0.030027
d889d546-5961-4754-bbb3-cd2ecc68f81d,6,6,30,-0.001634,-0.001265,-0.001265
652603c0-c554-493a-8028-dd0812bf00fe,6,6,30,-0.006567,-0.005087,-0.005087
06abd224-3404-447f-907a-473f6dde650e,6,6,30,-0.004169,-0.003229,-0.003229
dd43808b-9b9e-4586-a14a-b45b2e45c114,6,6,30,0.013834,0.010716,0.010716
fd941bc5-7fe1-402a-97a9-e7cde0f224e8,6,6,30,0.022259,0.017242,0.017242
3ca70d05-1ad7-45cc-8f35-69e6df8827a2,6,6,30,-0.004184,-0.003241,-0.003241
6d18cc41-3bc3-4d3c-8c9b-204dfad4a3d0,6,6,30,0.067985,0.052661,0.052661
756ce742-83d7-4000-8026-0275b8add02d,6,6,30,0.010398,0.008054,0.008054
7f20e886-c5d8-47e4-9b25-65e6ca8a33a7,6,6,30,0.038451,0.029784,0.029784
7fb41043-6a01-4d51-a0fc-f08b1d116ef1,6,6,30,0.061019,0.047265,0.047265
a6051846-91f9-42e9-bd82-44b2eb92a2b5,6,6,30,0.002484,0.001924,0.001924
a3aa777f-e36b-4b1b-8dec-3956ca86947d,6,6,30,0.027427,0.021245,0.021245
69e36cb9-c825-4790-8ddd-a39e2d37a0a5,6,6,30,0.079109,0.061277,0.061277
