id,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
e03d9395-16fc-4c13-b6d3-1e23c4a3b65b,0,0,10,0.829680,0.727678,0.727678
affc9ece-913c-4265-940f-3e778177d25e,0,0,10,0.514277,0.451051,0.451051
c3eaec9e-3533-407e-a80b-6ef1da8e8dcb,0,0,10,,,
2819ca27-ffda-4a36-b1ba-03edf8ace8c4,0,0,10,0.206292,0.193778,0.193778
29ddc6ca-308b-48cd-b4fe-30eb0a9cae8d,0,,,,,
ee5aac24-c454-44b2-9852-d1d56e405bfe,0,0,10,0.631530,0.553888,0.553888
ea90d858-13bf-4477-a98f-e6bc0609da27,0,0,10,0.402703,0.353194,0.353194
23c2fa93-c4ae-4c58-878f-3d3b16a317fd,0,0,10,0.070030,0.061420,0.061420
e9c117a1-21f6-4f15-bf30-bdd53c49d93e,0,0,10,0.520212,0.450517,0.450517
4471d5d4-153c-45e3-8f5f-84b12387b57a,0,0,10,0.310486,0.279577,0.279577
dc2f016d-f2dd-4549-b75d-a51ff142204d,0,0,10,0.245667,0.218281,0.218281
d1ce5211-803e-4a08-bfd0-dbdf6c2b8913,0,0,10,0.217441,0.190708,0.190708
64d81c94-54f6-4007-b601-466ee05449ac,0,0,10,0.441732,0.387425,0.387425
ee834cf5-afcc-445b-85ff-cd12a131f9d1,0,0,10,0.397117,0.348295,0.348295
89dd25c3-a203-4b2b-8dbf-985de03f5046,10,10,10,0.266455,0.273377,0.273377
7ebfa1a3-9647-4c6a-8453-a95f983d60ad,0,0,10,0.344586,0.310282,0.310282
f95feebb-2c3d-4853-b203-1a913760c84c,0,0,10,0.591899,0.519130,0.519130
fd6e4064-18bb-4b80-9817-193af45ae85e,0,0,0,,,
76560608-334a-4684-a0e7-d3d988476148,0,0,10,0.366839,0.321739,0.321739
67273aad-64f5-473b-ae9c-287b31a1831e,10,,,,,
638cbf26-e20a-4af1-942a-1d59968f3bfe,0,,,,,
2060d30e-6e7c-473f-842f-35de092ac58f,0,0,0,,,
b23af566-d17f-40a0-9664-36b118577304,0,0,10,0.981633,0.860949,0.860949
30c3f374-05b6-496b-9a38-ad63bbad9c69,10,10,10,0.243956,0.257152,0.257152
c96f7f80-a2ee-4db4-b539-ceed48b85c54,0,0,10,0.423946,0.371826,0.371826
e0f4a420-8c65-48e2-9c42-71dabd336171,0,0,10,0.265568,0.232918,0.232918
c730b09d-e28f-499c-a002-240052a08a59,10,10,10,0.170998,0.173176,0.173176
54d3c323-d8f1-41b5-a335-7e332dfc2db3,0,0,0,0.119562,0.119562,0.119562
4748c6b8-4e8b-46aa-8e1b-861393d13ae2,0,0,10,0.741591,0.650418,0.650418
979b4571-4e55-4b86-8860-71ddbd539f25,0,0,10,0.993091,0.870999,0.870999
74b7920f-5d65-43d9-9282-9299c37d3711,0,,,,,
4ebac405-3244-4653-a517-da3729ced470,0,0,10,0.132147,0.114443,0.114443
500a466e-9425-4e50-a3e0-6f95e4f28204,0,0,10,0.123757,0.107177,0.107177
66d15c64-c8fe-41a8-9bab-0b5b084db8b4,0,0,0,,,
da1fc867-d798-4f99-8896-119967617101,0,0,0,,,
f2f2cdb2-aaff-4954-b793-20df7d8e66da,0,0,10,,,
