id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
8b00cf3c-064a-48ce-82d3-66b0fbce1d94,,,6,6,6,0.008460,0.008460,0.008460
a72cae23-6993-4238-ac99-42a922096842,,,6,6,30,0.074388,0.057620,0.057620
e957d2a9-6cf6-4dda-ab99-fe77c27eaede,,,6,6,30,0.034131,0.026438,0.026438
4fde88bd-e982-483a-9a6e-f4e9d92cbe7f,11118858460.980200,0,6,6,30,-0.002676,-0.002073,-0.002073
073f4e65-1a66-45c3-bf7c-65527c43c178,,,6,6,30,0.092029,0.071285,0.071285
465a945d-ac8c-4b4b-b575-6e5739d74d3c,,,6,6,30,0.009587,0.007426,0.007426
40e9287b-045c-4aa0-8c3e-e86351563a60,,,6,6,30,-0.006035,-0.005725,-0.005725
f37cbcda-beeb-4b6b-9dac-f1d0e8364676,,,9,9,30,0.019732,0.015908,0.015908
a94d0feb-4441-4ce9-a649-5abd7ab1fed1,1799040732730.869873,0,9,9,30,0.065150,0.052526,0.052526
92171a41-f13e-45f9-9fa5-ac3926fcb345,,,6,6,30,0.088826,0.068804,0.068804
a14d48f7-aa09-490d-ac23-53a1b7d1736b,,,6,6,6,-0.003060,-0.003060,-0.003060
03ddce6d-1482-44e3-8474-6d1440927900,,,11,11,11,0.304606,0.304606,0.304606
23f6ebac-02fc-4df9-96bb-9fb063cfcb3e,,,6,6,30,-0.001385,-0.001073,-0.001073
600ca2a2-02d6-43f3-9742-f6a1c27fdc13,,,6,6,30,-0.001477,-0.001144,-0.001144
6019fb90-2e88-4a2f-92e5-9179eeeb9583,6603795406.898500,2,6,6,30,0.017525,0.013575,0.013575
4006f2b1-8c48-42e4-9954-08ebe5dd24ca,102169500000.000000,0,6,6,30,0.066005,0.051127,0.051127
c46d5453-0ee6-495f-adad-c79dbd78c2e1,,,6,6,30,0.008661,0.006708,0.006708
a219fb75-ea81-4079-b736-ccc2592b10ec,,,9,9,9,,,
b4503fb6-0c9e-47da-a824-bf6a4c1e52e4,,,9,9,30,0.152782,0.123177,0.123177
04efcce4-0acc-4c6f-a028-0b6779f0aace,464017608.005700,20,9,9,30,0.007847,0.006327,0.006327
54c0b6ec-5cc5-43b2-9ea8-064e22b404b2,,,0,,,,,
22582866-363f-4fb6-8470-4695551aec58,15291265625.000000,0,6,6,30,0.020709,0.016041,0.016041
c3fd8495-c87c-4199-a135-14f5c2cf5907,31973657132.716198,0,6,6,30,0.003172,0.002457,0.002457
b0ca5aea-f520-4275-9f80-2c12e492530b,1219208211.204800,13,6,6,30,0.009456,0.007325,0.007325
685ead9f-6ff5-4d47-bd9f-8135e981be9e,,,6,6,30,0.007046,0.005458,0.005458
faebb20c-07bc-41b9-af5f-0e38319396a6,74930658329.078201,0,6,6,30,0.023341,0.018080,0.018080
c7828d73-c6c4-4f4e-a94b-7c86589c2e51,,,6,6,30,0.037045,0.028695,0.028695
dd68276d-31c4-4cc0-aed7-315110ef1e2c,85947601562.500000,0,6,6,30,0.121900,0.094423,0.094423
f04c2070-8b8f-497c-87aa-0971e72746d4,17123954560.490700,0,6,6,30,0.006987,0.005412,0.005412
dd4d3312-e4b9-4494-beea-47f7f26c1a99,107601601562.500000,0,6,6,30,-0.002023,-0.001567,-0.001567
6be0717e-49eb-480f-b602-b160e97c27df,,,6,6,6,0.004590,0.004590,0.004590
242bf67d-9c90-4634-9bbb-e7354fce380e,180714703125.000000,0,6,6,30,0.058489,0.045305,0.045305
8cbb1a73-b73f-4e1b-a629-b465d7aade17,,,6,6,30,0.010584,0.008198,0.008198
2e308237-f884-4444-a936-f29e68bfce06,7971505868.925100,1,9,9,30,0.019093,0.015393,0.015393
339af4c7-da0c-474e-8683-0ec41eb6f5b8,,,6,6,6,0.020516,0.020516,0.020516
48bdea37-70dd-4719-b699-6723506016ec,626789812500.000000,0,6,6,30,0.022281,0.017259,0.017259
591deef1-f30c-4d06-89a1-f4da05aea3bb,52126172.086400,30,6,6,6,0.002299,0.002299,0.002299
8c33e232-b7e9-4555-808d-774a15133a1e,117253085937.500000,0,6,6,30,0.016690,0.012928,0.012928
f0200fe9-e175-49da-9786-0beda62f8b90,,,6,6,6,0.087377,0.087377,0.087377
6c5b3e51-9181-4caa-8cff-abcb1955742a,,,9,9,30,0.023156,0.018669,0.018669
