id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
bcb8fbf0-4267-4817-a3be-c544c1efa00f,2413639160.156300,9,0,0,,0.480049,0.480049,0.480049
cedb6b04-7f30-4179-b0cb-e34d2d1c6fc0,82760643.005400,30,0,0,,0.242871,0.242871,0.242871
e471db25-62cb-4955-a622-0af66b642b73,4857275.167700,30,0,0,,0.306932,0.306932,0.306932
313a06cb-0f4f-485d-8415-f9963092907d,9159516601.562500,0,0,0,,0.160506,0.160506,0.160506
3a616ff3-2e7e-4849-a730-0091aa62c8a7,742495300.293000,16,0,0,,0.415041,0.415041,0.415041
7b759c25-17eb-491f-a059-ab8f668bbcfe,82887161.254900,30,0,0,,0.299759,0.299759,0.299759
a161a5de-2944-4d8d-a922-f6c756a61cd6,4650676732.187301,4,0,0,,0.279249,0.279249,0.279249
115fa166-71eb-41ab-b3dd-74a291a665fd,2169014960.737200,9,0,0,,0.126707,0.126707,0.126707
242e0c6f-c90f-46de-a8f1-92da982c44af,3741374625.228700,6,0,0,,0.210190,0.210190,0.210190
4d2edcb3-b8de-438b-9de1-e0f511a6da22,77901580.539900,30,0,0,,0.243647,0.243647,0.243647
3490f3b7-db2e-4584-9336-52ff5a2f2ef7,14050985.773400,30,0,0,,0.472098,0.472098,0.472098
85961c58-3b6b-485f-b451-8c36ad774356,2594279052.734400,8,0,0,,0.217746,0.217746,0.217746
97e6221c-ec9d-4029-9abe-bf1463d04cc2,51986675781.250000,0,0,0,,0.201500,0.201500,0.201500
8c93c6f2-c525-4181-8001-89604136321e,2089387103.201500,10,0,0,,0.171153,0.171153,0.171153
1fa9741a-7609-407d-b28c-b755e861ffe8,423610510.283200,20,0,0,,0.109036,0.109036,0.109036
545cd821-e1fa-4dbb-aed4-54530d4fa572,,,0,0,,0.135336,0.135336,0.135336
c6f2553e-9e04-4701-ac78-0c9ee9f17168,376258661.905900,21,0,0,,0.627095,0.627095,0.627095
fefefffb-70e8-4f46-847c-6682f68630c3,57070334.725400,30,0,0,,0.397119,0.397119,0.397119
f396869d-86bf-48ef-9546-ac50d5de5e5c,2697933009.499100,8,0,0,,0.281476,0.281476,0.281476
f3481191-573c-4cb1-af94-bcf2c3a1a0ed,76245296875.000000,0,0,0,,0.333601,0.333601,0.333601
24a421b9-72e6-47ad-92e9-700d77409383,105046241.760300,29,0,0,,0.269450,0.269450,0.269450
0a124ca8-7f83-4668-a7d5-e99316389a19,23780273.206800,30,0,0,,0.311754,0.311754,0.311754
c8eb1993-efc7-462d-bab4-1064c3e4214a,758662337.325400,16,0,0,,0.150910,0.150910,0.150910
d62e9e3d-5a2a-4be7-9160-05af98d5cc2c,667717684.692500,17,0,0,,0.130598,0.130598,0.130598
a4f8f64a-75f8-48c7-bdee-690204c9ea9b,161832305.908200,26,0,0,,0.506374,0.506374,0.506374
56f8641d-01ff-4f79-a56c-456c24a0856a,2391072585.809600,9,10,10,,0.152093,0.152093,0.152093
b2e5d75a-8ca3-4c18-8174-acbf59f51ad9,31713661.460800,30,0,0,,0.146648,0.146648,0.146648
34b7f090-77be-4d35-a9d2-9a0c0dec05a5,6681123229.549500,2,0,0,,0.129421,0.129421,0.129421
d3e814d1-984c-456d-841e-354c34b6888e,46652753.734200,30,0,0,,0.175252,0.175252,0.175252
3dc396c5-a5b8-4dbc-b7b7-098f82f07968,315356396.281700,22,0,0,,0.265775,0.265775,0.265775
8dc8e35f-fe41-4b8f-85a5-1be321cdc541,447207035.202000,20,0,0,,0.174188,0.174188,0.174188
2ddf3e58-c3f5-4507-8c1a-8ed781f8f122,20054946.002400,30,0,0,,0.409307,0.409307,0.409307
c546500d-19f9-49a5-b335-2a00e1828702,89145383621.221603,0,0,0,,0.335668,0.335668,0.335668
c5be1e9a-3054-4e24-9fd3-9460aacbb08c,4519084.107600,30,0,0,,0.643008,0.643008,0.643008
232b911f-bc63-47bd-aba5-28e7d8c9c724,26174391.466300,30,0,0,,0.063102,0.063102,0.063102
58d2089c-9a96-466e-84da-0c77f441b0b0,4428252713.338600,5,0,0,,0.280481,0.280481,0.280481
527ee719-8fd0-4525-bcd4-a8a6b753b8df,968206542.385200,15,0,0,,0.110891,0.110891,0.110891
