id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
843ce470-3b49-4382-8cea-841d74c4a51e,,,5,0,0,,0.338717,0.338717
2fb8c75e-34c0-4ee7-8ec9-f7489f6ab198,,,5,0,0,,0.061907,0.061907
72bc44fb-9f3b-4042-b20b-46ef19d769c6,,,5,0,0,,0.145956,0.145956
42e5241b-0e03-4efb-8275-47f99d3d3312,,,8,0,0,,0.001117,0.001117
979bc8fe-3b05-47ce-a66b-e639b92d0ffa,,,20,0,0,,0.018861,0.018861
84a66d5c-2697-4b2e-896a-26a6165af9ab,,,5,0,0,,0.125801,0.125801
f094a1a1-716d-4549-8542-24bbd0831926,,,5,0,0,,0.039792,0.039792
6757f3ed-e844-45fb-b614-34a0a89dafcf,,,5,0,0,,0.111640,0.111640
890270b9-b195-4732-b765-9b8f15238d07,,,8,0,0,,-0.000379,-0.000379
b5abf8dd-aee2-4c52-aeb8-e5cb7f6b5701,,,5,0,0,,0.019914,0.019914
56c633c5-388e-42e7-8c02-9666c44eaaf1,,,5,0,0,,0.435461,0.435461
3cab9240-57a6-4059-a51c-67b0b2f07a35,,,5,0,0,,0.040414,0.040414
5128fac6-7976-4cf9-b592-1bf1c9761581,,,5,0,0,,0.077655,0.077655
ba217eac-7cf5-4ec8-bb4f-cfeb163c965b,,,5,0,0,,0.045509,0.045509
080fb2d5-d87b-459b-87a4-e57695602d19,,,7,0,0,,0.012178,0.012178
79688ecb-84c0-44cb-82fb-3d18130936bd,,,5,0,0,,0.017839,0.017839
5fc2b18c-59ec-4005-9ce0-16ea0c0236b2,,,8,0,0,,0.011255,0.011255
f27eff09-e5be-4cf3-9a82-cbe337f1203b,,,5,0,0,,0.059644,0.059644
c0c1736c-e80b-4fb2-b55f-cf5ca57b996c,,,5,0,0,,0.129950,0.129950
c861428c-b3c8-4070-8c71-0637d3305091,,,20,0,0,,0.017583,0.017583
694b367c-4f3a-43de-bdb3-4b9cef32d9d4,,,5,0,0,,0.175429,0.175429
e3cb539f-949c-421a-979d-9d40bb33c5a6,,,5,0,0,,0.013203,0.013203
0ea0a255-4b75-4e34-bd0e-325db70be2e6,,,5,0,0,,0.025453,0.025453
573a6875-c9f9-4bca-9f98-48f4d38503d7,,,5,0,0,,0.033766,0.033766
