id,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
fd520528-eb70-4e64-894c-f3d7e737c8a7,5,5,5,0.017239,0.017491,0.017491
4ceba244-be6f-4fd6-8072-4ada8621ebce,5,5,5,,,
d57ba462-9871-4420-a7b5-a6afd8764b62,5,5,5,0.080712,0.081890,0.081890
63bbee27-5572-4fbd-84bd-d1519dc483c6,5,5,5,0.069981,0.071003,0.071003
002454ea-580b-4e7b-abcc-9985d39d7675,5,5,5,0.144248,0.146354,0.146354
fb69df72-b40b-4c00-9841-8a68fd1c1771,5,5,5,0.070018,0.071041,0.071041
c8f0ed01-0573-4c22-b5b3-ad8a790a769a,5,5,5,0.334553,0.339438,0.339438
d866ef68-e31a-4cf2-bad9-6d5d2d875cd9,5,5,5,0.028749,0.029169,0.029169
84321a64-4872-47d4-bbf8-25b155fac58c,5,5,5,0.115556,0.117243,0.117243
0444f7f6-81b8-407f-a0c8-ea47fc80f5a3,5,5,5,0.121862,0.123641,0.123641
d2788511-9f3e-4a98-a632-6ef2c6d7d367,5,5,5,0.098085,0.099517,0.099517
7d08eb79-9d2b-44c2-ba12-d1096f333268,5,5,5,0.110187,0.110187,0.110187
64dc2250-bf71-4c9d-b11b-3b5112fe28cc,5,5,5,0.065050,0.066000,0.066000
7d9bba72-64a5-4d7a-b90d-25ad785aa015,5,,,,,
04f5a654-9606-47b4-ad56-c6317376beff,5,5,5,0.017537,0.017793,0.017793
7bfee379-1b2c-4090-b375-6d0904b9eafd,5,0,0,,0.544751,0.544751
f4256096-d7a5-453e-bcad-824729228505,5,5,5,0.113252,0.114905,0.114905
f58ca525-bb79-4c13-b059-7a9bfbe09f70,5,5,5,0.018036,0.018299,0.018299
d18b49ff-38fd-482b-8458-ff8bca78b495,5,5,5,0.173003,0.175528,0.175528
aba6aaf5-7e15-4265-bb5a-563e2ecb2e58,5,5,5,0.146372,0.146372,0.146372
ec6b0d04-ab43-4d26-aeee-5d2f0fe3cb1d,5,5,5,0.079093,0.080248,0.080248
20b6d0f6-95a3-4f1d-919e-63c767921d7e,5,5,5,0.034998,0.035509,0.035509
0626a5c4-fec1-49ae-a6d0-07fddcbe147e,5,5,5,0.128195,0.138466,0.138466
0e806f0a-139c-47c7-8a76-3fe1e1874791,5,5,5,0.447871,0.454410,0.454410
b812c41b-22e2-4336-bb92-0d86304e7450,5,5,5,0.094915,0.096300,0.096300
81ef0734-90dc-4379-9691-eb01495b303a,5,5,5,0.065756,0.069870,0.069870
d999683d-ac5e-4e83-ab29-2d30faf4a6a7,5,5,5,0.193460,0.196285,0.196285
3056d403-1d86-4ddc-9e39-1ceb0c8f2795,5,5,5,0.099574,0.101027,0.101027
162160e4-45fa-47f0-9455-11cb43a0cfeb,5,5,5,0.066933,0.066933,0.066933
4fd98c37-a06b-4b6b-9cba-cf5aee2fcf13,5,5,5,0.065430,0.066385,0.066385
efc37a59-edd4-43d3-a81d-caa823848f8e,8,8,8,0.007541,0.007643,0.007643
ec6b2048-8067-4329-a670-044ef10f0153,5,5,5,0.068536,0.068536,0.068536
966b6b9e-e5c7-4dab-ba30-f8fd0a958fde,5,5,5,0.129683,0.129683,0.129683
10059eba-e791-432f-9572-6e256b1566aa,5,5,5,0.059583,0.059583,0.059583
c2ec1551-aac6-4ecb-989c-d3e0b471bb56,5,5,5,0.078019,0.079158,0.079158
00c75144-ec0a-4e79-9172-baefd5b8e93c,5,5,5,0.108565,0.110149,0.110149
94b98fa0-0d2f-404d-8f8d-2a85e02f2d16,5,5,5,0.091055,0.093774,0.093774
fdde72af-729a-4dfd-9fc8-c17b257425fe,5,,,,,
ba19ede8-f97f-4ca7-bcbd-5ed660127ad1,5,5,5,0.085880,0.087133,0.087133
93fbaffe-bfc9-44b7-9936-3caeb86ff632,5,5,5,0.090111,0.091427,0.091427
91cfeebe-9c23-4593-9556-4a203c207868,5,0,0,,0.143779,0.143779
ff4a0b3b-1edb-40a2-a6d4-790dcde56ce0,5,5,5,0.098548,0.101490,0.101490
8545f891-016e-4cc8-bd5a-93c5b429cc2b,5,5,5,0.015367,0.015592,0.015592
73685551-568a-4dbd-8602-be309dadee57,5,5,5,0.228276,0.231609,0.231609
42cbac2f-8098-4ada-95f1-e639269db5c5,5,5,5,0.092641,0.093994,0.093994
29ccda48-9f58-4fa4-aa03-3303afbb5499,5,5,5,0.076370,0.076370,0.076370
5df55824-b1b8-4400-a393-630b85049146,5,5,5,0.112031,0.113667,0.113667
34bc2d7c-8e5e-453a-b544-3ba4bf0b6f4a,8,8,8,0.014199,0.014389,0.014389
ae725399-e5f5-4001-b507-56dc025710aa,5,5,5,0.072965,0.074030,0.074030
83a64375-084f-4815-af2f-0282981b551e,5,5,5,0.216121,0.216121,0.216121
b5d47618-98d8-4624-b826-5634bf36b489,5,5,5,0.012828,0.012828,0.012828
cc240825-6222-49f5-948d-3b2c14928bec,5,5,5,0.198313,0.198313,0.198313
2e6cc060-4e91-4001-b43c-1bea244a1cf5,5,5,5,0.248973,0.252608,0.252608
e96929c7-0548-43a5-8737-bfabd2909ae7,5,5,5,0.102128,0.103619,0.103619
04ebd159-724a-49f9-b71c-46eac11677de,5,5,5,0.075950,0.077058,0.077058
fd7b3dd0-62bf-433e-8772-c0a5e338b5d7,5,5,5,0.112484,0.114126,0.114126
f2f92ff8-2b93-4c9d-92f5-70395c700f34,8,8,8,0.041854,0.042416,0.042416
c1bc8aae-d7c9-4c8c-b492-0b404fd3bc46,5,5,5,0.081284,0.082471,0.082471
d4819b0c-44ca-4f19-bfe2-59ed56c61bc8,5,0,0,,0.124204,0.124204
2bb8c27d-cf6e-4314-9046-8fa77c43f42f,5,5,5,0.167512,0.167512,0.167512
977124ff-1c7c-4214-88ef-fb9d9dea4b02,5,5,5,,,
299429b0-a784-4d22-9f6d-34f4df73acb1,5,5,5,0.034107,0.034605,0.034605
6bf87b6a-8451-4177-98e6-308a6da44070,5,5,5,0.151544,0.151544,0.151544
b288b005-9b79-4d8e-890d-df7f89dbf702,5,5,5,0.136603,0.138597,0.138597
78cf8c61-8797-4219-909b-b220b00c07dd,5,5,5,0.088780,0.090076,0.090076
06f4cfbe-3309-43d6-8235-ddbd0eaacaef,5,5,5,,,
54a7d995-8134-4f98-b8f4-b0c54f07dd11,5,5,5,0.061069,0.061961,0.061961
8600b15a-bbaf-4acc-a271-267d47d91e73,5,5,5,0.097393,0.098815,0.098815
a1ba8c04-f759-42f5-9d23-65ba00d64e20,5,0,0,,0.088657,0.088657
7612b81d-ad11-4a89-86b9-fbfe6fb086fa,5,5,5,,,
76f54b13-d627-47e0-b5da-2c1f7d3b48f1,5,5,5,0.150207,0.150207,0.150207
84ccc045-907d-4ee6-ba6c-f37d9b602ef6,5,5,5,0.089547,0.090854,0.090854
e68f84f7-3128-4e58-b9e1-e4091cef55af,5,5,5,0.092826,0.094181,0.094181
5fd462b7-3e03-4e7b-b9d4-43dc7a701d01,5,5,5,0.103667,0.105180,0.105180
5b11f1fb-513f-4db8-be5a-b023f745b0fa,5,5,5,0.127913,0.129780,0.129780
b01ed3d6-18a6-494a-8b6f-278cf5666985,5,5,5,0.028738,0.029157,0.029157
795bbad8-48fb-42c1-944e-dc69de42801b,5,5,5,0.024223,0.024577,0.024577
e2676de6-1130-4ee4-8d4d-04f6e57bef21,5,5,5,0.133353,0.135300,0.135300
51bf7b92-bc98-472e-b4b9-64a61d8411cb,5,5,5,0.019135,0.019135,0.019135
f1a2a731-689c-40cc-91e5-87bc968534ce,5,5,5,0.123062,0.124858,0.124858
021b24c9-75a6-4c84-9e9b-39912febcf20,5,5,5,0.096911,0.098326,0.098326
0407a0ce-99b1-44ae-b43e-3f3c5ae0fbd8,5,5,5,0.077176,0.078302,0.078302
3a1961bf-95b7-48a7-8001-236f5f033180,5,5,5,0.089931,0.089931,0.089931
cf60cce2-050c-4407-98b8-f6083e3fce27,5,5,5,0.424444,0.450997,0.450997
985506bc-282c-47fa-92b8-99d550fec7b3,5,5,5,0.017473,0.018274,0.018274
8def9b8a-7b04-4c6a-82df-86a9069e59ca,5,5,5,0.072896,0.078737,0.078737
b5dbbf1f-bb0f-46b9-b467-d981cdd2a76b,5,0,0,,0.090273,0.090273
2330188e-fe26-4d77-9a36-15efbb308a98,5,5,5,0.116820,0.118525,0.118525
bf935095-0ee2-459c-b72c-d4b2f26ec099,5,5,5,0.053400,0.054179,0.054179
