id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-ArcanistLiquidity,esHistInno30D-Arcanist,esHistInno30D-Recco
bcb8fbf0-4267-4817-a3be-c544c1efa00f,2353262939.453100,9,0,15,5,,,0.536519
cedb6b04-7f30-4179-b0cb-e34d2d1c6fc0,83215370.178200,30,0,15,26,,,0.291103
e471db25-62cb-4955-a622-0af66b642b73,4875811.594800,30,0,15,30,,,0.407324
313a06cb-0f4f-485d-8415-f9963092907d,10182309570.312500,0,0,15,4,,,0.181250
3a616ff3-2e7e-4849-a730-0091aa62c8a7,637776794.433600,17,0,15,11,,,0.518114
7b759c25-17eb-491f-a059-ab8f668bbcfe,80999572.753900,30,0,15,24,,,0.359468
a161a5de-2944-4d8d-a922-f6c756a61cd6,4338004583.143200,5,0,15,13,,,0.284840
115fa166-71eb-41ab-b3dd-74a291a665fd,2001649463.296200,10,0,15,23,,,0.216009
242e0c6f-c90f-46de-a8f1-92da982c44af,3751941466.776900,6,0,15,14,,,0.242741
4d2edcb3-b8de-438b-9de1-e0f511a6da22,72554942.238300,30,0,15,30,,,0.368004
3490f3b7-db2e-4584-9336-52ff5a2f2ef7,10411461.880100,30,0,15,30,,,0.680391
85961c58-3b6b-485f-b451-8c36ad774356,2804494628.906300,8,0,15,10,,,0.230749
97e6221c-ec9d-4029-9abe-bf1463d04cc2,59136285156.250000,0,0,15,0,,,0.191778
8c93c6f2-c525-4181-8001-89604136321e,2316977566.173800,9,0,15,26,,,
1fa9741a-7609-407d-b28c-b755e861ffe8,455563501.525900,20,0,15,30,,,0.208703
545cd821-e1fa-4dbb-aed4-54530d4fa572,,,0,15,26,,,0.238469
c6f2553e-9e04-4701-ac78-0c9ee9f17168,377967523.470600,21,0,15,20,,,0.623543
fefefffb-70e8-4f46-847c-6682f68630c3,63049363.308000,30,0,15,30,,,0.577284
f396869d-86bf-48ef-9546-ac50d5de5e5c,3792425368.170200,6,0,15,20,,,0.450321
f3481191-573c-4cb1-af94-bcf2c3a1a0ed,93212492187.500000,0,0,15,0,,,0.280478
24a421b9-72e6-47ad-92e9-700d77409383,136439376.831100,27,0,15,28,,,0.450640
0a124ca8-7f83-4668-a7d5-e99316389a19,25401218.207300,30,0,15,30,,,1.014073
c8eb1993-efc7-462d-bab4-1064c3e4214a,761557559.160800,16,0,15,30,,,0.242717
d62e9e3d-5a2a-4be7-9160-05af98d5cc2c,652110239.360900,17,0,15,24,,,0.174046
a4f8f64a-75f8-48c7-bdee-690204c9ea9b,151231948.852500,27,0,15,19,,,0.566827
56f8641d-01ff-4f79-a56c-456c24a0856a,2348099895.718400,9,10,30,20,,,0.147578
b2e5d75a-8ca3-4c18-8174-acbf59f51ad9,30143879.997800,30,0,15,30,,,0.198418
34b7f090-77be-4d35-a9d2-9a0c0dec05a5,6587521765.466100,2,0,15,7,,,0.121333
d3e814d1-984c-456d-841e-354c34b6888e,44657914.948000,30,0,15,30,,,0.194156
3dc396c5-a5b8-4dbc-b7b7-098f82f07968,433443516.995600,20,0,15,24,,,0.581980
8dc8e35f-fe41-4b8f-85a5-1be321cdc541,547797749.535000,18,0,15,27,,,0.397405
2ddf3e58-c3f5-4507-8c1a-8ed781f8f122,20825670.468800,30,0,15,30,,,0.665041
c546500d-19f9-49a5-b335-2a00e1828702,100339713041.143997,0,0,15,0,,,0.322001
c5be1e9a-3054-4e24-9fd3-9460aacbb08c,7851340.402100,30,0,15,30,,,1.362518
232b911f-bc63-47bd-aba5-28e7d8c9c724,25440739.232700,30,0,15,30,,,0.075815
58d2089c-9a96-466e-84da-0c77f441b0b0,5719462874.314799,3,0,15,15,,,0.525378
527ee719-8fd0-4525-bcd4-a8a6b753b8df,1009921019.551800,14,0,15,27,,,0.158103
8fbebf05-de21-4a85-b10f-a11de29a319b,2267492.055900,30,0,15,29,,,0.901411
7dee3bae-4298-4add-9dfd-5deb65ad02b3,1515944946.289100,12,0,15,14,,,0.533561
3d998067-87ff-4bc4-bac5-915cae3e44a2,12953569619.036800,0,0,15,9,,,0.211891
33de801a-7754-4789-b3da-2065cb3bbf03,385517140.770100,21,0,15,24,,,0.224192
310ff199-719b-460b-871e-fceed2653b9f,108668546.515600,29,0,15,30,,,0.773262
825a90ae-5e92-4451-aae9-5d213ed36fed,1107513861.838700,14,10,30,20,,,0.320412
