id,currency,rho,rho-to-call,rho-to-maturity
67b0200e-ef53-45f0-8a04-7440fe2be302,USD,-1.441205,-1.441205,-1.441205
153958e8-f56c-401f-a518-3048e399dd43,SGD,-1.816676,-1.816676,-1.816676
b9aaa91c-834e-43c5-90cc-0b8114df8e02,USD,-0.216387,-0.216387,-0.216387
60331430-c837-4ff8-b59b-32f095933cc6,EUR,-1.159622,-1.159622,-1.159622
4bf55a8e-c5b9-48ad-8992-11db6d486457,USD,-2.968573,-3.178712,-3.178712
69dc9743-a419-4508-a581-106406cc6f57,USD,-1.553035,0.275042,0.275042
c6c07f82-2e3c-4a9a-bbc1-7ed5220de3da,EUR,-2.083632,-2.083632,-2.083632
d0cdeb4a-3413-4085-92fe-fef018a14e0f,USD,-0.082835,-0.082835,-0.082835
40c721f0-cc7a-4629-af02-1c49049259a5,GBP,-1.951205,-1.951205,-1.951205
e7fc2601-3310-4b0c-9cfb-4c0e865d8860,USD,-1.098712,-1.098712,-1.098712
e5321902-4089-4577-8796-d971c7116c4a,USD,-1.804250,-1.804250,-1.804250
61b95f14-8d2b-4336-aa59-f5f68b40e65a,EUR,-0.209131,-0.209131,-0.209131
6158a76a-45f9-43c5-9dbd-ebd2ea25e4fc,USD,-1.957077,-1.957077,-1.957077
3e2807dd-e55f-4f85-a8cf-70ac551654db,CAD,-0.310587,0.323458,0.323458
de825514-9771-486f-99f8-8c7ea396a659,USD,-0.878124,-1.024464,-1.024464
1b555817-340a-4154-847a-b2760d49ba40,USD,-1.496498,-1.863723,-1.863723
f8a15eec-599d-4ffd-80e6-ec4cfcf3fcb6,USD,-0.105532,-0.861526,-0.861526
2fe370f0-c41c-4b8e-b63b-0cab7368e879,SGD,-0.144098,-0.144098,-0.144098
b23f6ea8-126f-4e10-8b1c-84a1c1d9d5aa,USD,-1.436958,-1.436958,-1.436958
726a9190-ff34-4c3c-8799-5a19b7f1149a,USD,-2.348738,-2.348738,-2.348738
23834af1-61fe-40c7-9fcc-3bd5efbea8bf,SGD,-0.199107,-0.199107,-0.199107
7f7f4787-672c-4d30-9418-e70c142235a4,USD,-0.191283,-0.191283,-0.191283
26d176bf-f70d-4c3e-820b-436a85aa9fab,EUR,-0.189467,-0.189467,-0.189467
1db4bd45-a08d-4e10-94c2-122650788ba4,USD,-2.815751,-2.815751,-2.815751
0c7bc22c-0188-45b9-935b-e8e8beb911e6,USD,-0.905810,-1.054541,-1.054541
87eadb1e-1df5-4893-815b-3175b729e505,SGD,-1.367473,-1.367473,-1.367473
3a02604f-23e5-4be8-b7f5-8f85bc8c05e8,USD,-1.431588,-1.431588,-1.431588
e97aa7b1-4ac5-4b82-a3ab-13cd964eaa42,USD,-1.837580,-0.651394,-0.651394
5113afe4-54ff-443e-9c89-aa8faace8f91,EUR,-6.010056,-6.124054,-6.124054
e64f511b-4572-4da2-8993-db5dfcc489d2,EUR,-4.298550,-4.433705,-4.433705
78408115-16fc-41a3-bb4b-be8fc80d94fa,USD,-0.767189,-0.767189,-0.767189
c4d374ec-3ebf-4593-bb02-a5e837cff49b,USD,-1.852713,-0.676666,-0.676666
f7609764-9555-4b93-b03c-c36c346c27df,USD,-1.159887,-1.159887,-1.159887
086fb7b4-4115-4551-a5eb-01e748f4fa65,USD,-0.083246,-0.246991,-0.246991
1eb55d90-51b3-4f77-b125-7edb4c406358,SGD,-1.889865,-0.828359,-0.828359
abd2ef47-d684-4480-ba60-16a5f732d8d7,SGD,-0.274293,-2.320188,-2.320188
4c5a1a65-567e-4a63-8e9d-09195fb6cae6,USD,-2.992023,-3.116172,-3.116172
05a7e75b-38b5-47e4-a8ac-ddb30acf694a,SGD,-0.985780,-0.985780,-0.985780
50899f23-b8e9-47df-b3b1-869d584cde5c,SGD,-1.039085,-1.039085,-1.039085
55982821-eb0e-45db-8195-828dafd54370,USD,-2.309538,-2.309538,-2.309538
00bfe33b-b3ca-453e-8829-fe885e7e4cfc,AUD,-0.054055,-0.107725,-0.107725
d6767589-7082-4b05-9814-801657696f47,USD,-2.546898,-2.670743,-2.670743
1eb21711-8251-404a-a5f3-b663b4daf4b6,USD,-2.380290,-0.619543,-0.619543
ff9f4ff4-9437-4283-a15e-209b4c6d165e,USD,-0.059564,-0.059564,-0.059564
3be766b9-8812-430a-82c6-eb9818bdde1a,EUR,-0.745304,-0.745304,-0.745304
86036b1f-058f-40b4-b5d6-edc032fb9e37,EUR,-0.480389,-0.735787,-0.735787
cca5d1f4-4db3-4e71-989e-5e46605cce38,NOK,-0.001495,-0.001495,-0.001495
2fe3d3b2-fc21-4a13-88ac-694f8f90a5d0,SGD,-1.110007,-1.110007,-1.110007
7015dbc7-f0e0-4d70-b81a-50589bb9fba4,USD,-0.252733,-0.252733,-0.252733
d3a42023-15c2-4ee8-9e65-47cb9244d947,USD,-2.381389,-0.792439,-0.792439
2363abb0-fc94-4818-9a65-401e5808d989,USD,-2.269528,-2.269528,-2.269528
23206a94-e93f-49ee-b8e4-cb1a814b64f3,USD,-2.108270,-2.631757,-2.631757
9fde7b5a-0081-471a-b33c-bdc05ca777c4,SEK,-0.018663,-0.018663,-0.018663
589fa701-826a-40f1-9e7f-f15de977a78a,USD,-2.370343,-2.370343,-2.370343
0784d561-f50b-48af-b7dd-95f48d69ac73,NOK,-0.011458,-0.011458,-0.011458
e6d10f70-7d8e-4499-a72e-d6f282239360,USD,-2.746484,-2.984102,-2.984102
b7dca1c6-009b-4d10-9db9-8a6ed16373b0,USD,-0.178584,-0.178584,-0.178584
5bd9c7ac-b9c5-4fe6-8c82-693629b21117,USD,-1.401753,-1.401753,-1.401753
76bd3be6-2976-4e87-b36a-6b98b5f0db07,EUR,-1.204871,-1.610582,-1.610582
c164ca4c-0dbf-45fa-92eb-939d2f3c7b59,EUR,-1.772607,-1.772607,-1.772607
8d288c5a-9e25-467f-b3fe-e4e5f341fc7e,USD,-0.085534,-0.085534,-0.085534
24f24420-9cd9-48e2-986b-99b3e12e040c,USD,-1.365482,-1.506959,-1.506959
e74e9a05-2541-4bc9-b33b-8b44d1b03072,EUR,-1.572412,-1.042422,-1.042422
9c39028d-f8b2-4f23-a1c7-c311f505e198,USD,-3.834807,-2.320054,-2.320054
1365cf8d-5102-4f58-b37a-bbe010c53c19,USD,-2.907275,-0.267820,-0.267820
e8e763ea-2fc4-476d-9422-305b9bc38bd5,USD,-0.246154,-0.246154,-0.246154
30b4691c-bea6-4ac1-85e1-24d60988c5ae,USD,-1.983944,-2.300901,-2.300901
d0728257-b0d1-4556-8042-a1077584c9ad,CNY,-0.462390,-0.462390,-0.462390
1e65fdab-516b-410c-bb3f-f1bce661a065,USD,-0.442400,-0.442400,-0.442400
75823dc3-3575-4dc0-b600-130d4a6f8744,USD,-3.073722,-3.073722,-3.073722
fc671cda-de92-46d1-b779-ccd7b2b90a4f,USD,-2.527545,-2.647151,-2.647151
c70b5ec6-ac9d-4a3c-a9c6-4336991d5c59,USD,-2.806748,-2.806748,-2.806748
f0c86de8-c1f3-4e2f-99ad-07d3f3782fd6,USD,-2.017039,-2.017039,-2.017039
9ea951b2-15c8-4f35-b63f-362081cb9150,USD,-0.519598,-0.519598,-0.519598
e7581dcb-6493-402e-ad87-3035cbd744be,USD,-0.312074,-0.312074,-0.312074
9b6e17a2-8086-4344-91e8-8ed7232f2293,EUR,-1.287584,-1.287584,-1.287584
c2363945-92f5-4c04-8152-4d59f45f9d74,USD,-0.263041,-0.263041,-0.263041
d8f10974-a9e5-4f0c-9d4e-30f5f8f314b5,USD,-0.627747,0.272355,0.272355
a5add6f3-1335-49a7-8217-368d41599e32,USD,-0.218539,4.161215,4.161215
2a56c6e6-ed38-4484-83c1-84ac2373d079,USD,-0.584555,-0.869977,-0.869977
4e618311-3c31-4bf7-9d59-75e3984c5c29,USD,-1.055537,-1.055537,-1.055537
7cdf7ea0-e224-4633-9f49-d0138b8e7f20,SGD,-1.029930,-1.029930,-1.029930
dd42d514-2a5c-46c6-93fb-22d01af648c4,SGD,-0.286154,-0.286154,-0.286154
4547147f-71e8-460b-a6e2-6c96a88c02f0,USD,-0.194113,-0.354909,-0.354909
c3d6f8a3-0626-4972-a77c-65c00432e915,USD,-0.082878,-0.082878,-0.082878
3a67edc6-2919-4aa4-b75a-080b246a3f51,AUD,-0.120962,-0.120962,-0.120962
66ba64b5-1d4a-42a4-b558-3dc31ef007cd,USD,-0.140782,2.433253,2.433253
58bf6400-2194-48f7-8075-548267d106e1,USD,-0.096854,-0.096854,-0.096854
f163c0ca-d7ee-4b90-b659-428ed6f88d74,USD,-0.415568,-0.415568,-0.415568
bf2c15c0-9a6e-4117-a150-6cc533a5005b,USD,-1.701159,-2.067303,-2.067303
339a1aef-86f4-40d3-b0dc-68b8b7e1edf0,USD,-1.780215,-2.335988,-2.335988
1585db20-8f8e-4371-9c74-30d97d3e4f91,USD,-0.193667,-0.193667,-0.193667
7edfddf0-9564-4a9e-94bc-582e6d88139b,EUR,-0.536936,-0.536936,-0.536936
f576d453-4e20-4f5d-87b9-1e27cbbd5d12,USD,-2.804937,-0.891796,-0.891796
16512017-3d1d-44fa-aead-3957f6dd3b68,USD,-0.095947,0.570251,0.570251
93a4274b-5ef0-4747-8e3b-d1ed1b4a74c2,EUR,-0.341048,-0.341048,-0.341048
fb66825a-a0fd-4705-9c31-3df253690f4c,EUR,-10.885309,-5.938425,-5.938425
ad41d6f5-930f-412c-a6ce-851d9248a988,USD,-0.059253,-0.059253,-0.059253
f51fe7cd-bb05-46ad-92f2-8793adc5990c,SGD,-0.063789,-1.279975,-1.279975
f193f6d8-b4ec-4d88-b2e2-2eac03be2e28,SEK,-0.003910,-0.011687,-0.011687
af59b47f-63f7-4a1f-afa0-6b00fb7f7b46,USD,-0.237213,1.112271,1.112271
d7414ecf-a3c3-4f5e-b6c0-ab4a6ba43f42,USD,-1.844658,-1.976163,-1.976163
50489c1f-8ccb-4338-94f3-3ceb9ca94c54,SGD,-0.346876,-0.346876,-0.346876
c4a26a11-f58e-4896-9218-abd3e4ca1788,USD,-0.084281,-0.247744,-0.247744
2b8a3c4a-ec95-4dab-ad04-6edb144f04ff,USD,-2.224544,0.760580,0.760580
5c303c4b-e8ba-4ec7-a580-c397a8f346f6,USD,-1.077451,-1.077451,-1.077451
8a601d31-8197-40fd-b387-d0edf603a447,USD,-0.116950,0.236501,0.236501
617ab82b-d246-49da-be54-dc9a596a4fcd,USD,-2.432380,-2.310005,-2.310005
2be364fa-5ce0-4871-a68e-61370383edd0,USD,-1.427853,-1.495723,-1.495723
0d1f6ce3-1073-48ec-80d8-0f580d7dfbb9,USD,-1.092217,-1.092217,-1.092217
80fc8918-a574-4ccb-a9cb-59a0cce26402,EUR,-3.658590,-3.799932,-3.799932
43d41113-2f7b-4e88-a9bd-cae71d83fc48,USD,-2.164641,-2.519913,-2.519913
b1e1ec2f-0d4f-49b2-98f1-50939bbaa3de,USD,-1.248823,-1.248823,-1.248823
bb42c70f-ae2f-43b0-919c-45ce361d8cf3,SGD,-0.296570,0.246189,0.246189
4e76f1d3-afee-411b-8818-5eaf0594d58e,MYR,-0.113580,-0.113580,-0.113580
5da9ca37-5dd4-4f25-b2ca-12b81fc6162a,EUR,-1.473676,2.430407,2.430407
5e209cc8-b8dd-4475-98cb-b72ced139c32,USD,-0.099177,-0.099177,-0.099177
670641c2-ff6d-45e2-9326-e425c37b2a9d,EUR,-2.450961,-2.591686,-2.591686
da0a905b-74e9-4d28-b0e0-8bf41f058ac5,INR,-0.147875,,-0.147875
afc67483-fee1-484e-98f6-7d73f649c1da,GBP,-8.598765,-8.059234,-8.059234
747a0b54-f9bf-4a2b-9d20-53fefc651136,INR,-0.010991,-0.010991,-0.010991
633b3e0a-1661-49b0-b88d-65830f85354a,USD,-0.767411,-0.767411,-0.767411
6118be3c-1c5c-4f42-a73d-80899b6fab6f,USD,-1.216328,-1.216328,-1.216328
