id,currency,perpetual,callable,npv,rho,rho-to-call,rho-to-maturity
07e1fdb3-0836-4476-b3bb-2aa29919878f,EUR,true,true,0.453983,-0.510464,-0.510464,9.418662
762aabf9-5174-41f2-a757-c7ed3a51678a,EUR,true,true,0.515355,-0.171343,-0.171343,10.842744
63c772cb-6fd2-45a3-85c8-cd8b67bbcade,EUR,true,true,0.481925,-0.202741,-0.202741,8.834035
e34be82a-e137-45a4-89bc-b941e976bcc5,EUR,true,true,0.472192,-1.521803,-1.521803,8.461949
8759d8e4-f3b4-4f8a-86ac-6030607e9024,GBP,true,true,0.553567,-2.122231,-2.122231,7.006848
9de5a56d-edb8-4ebd-9c87-4824a1bd393c,USD,true,true,0.595330,-0.186010,-0.186010,5.757197
943b8e20-4563-4c95-9f8e-0801a94b8cfd,USD,true,true,0.713888,-0.080189,-0.080189,5.006313
ddaf246b-af45-4914-8973-e8428d35e113,USD,true,true,0.446642,-0.100959,-0.100959,3.600337
ad1b419a-43c9-41e1-99c3-52eb81eb2c0f,SGD,true,true,0.273336,-0.829419,-0.829419,0.648548
66ba64b5-1d4a-42a4-b558-3dc31ef007cd,USD,true,true,0.963460,-0.067588,-0.067588,2.308034
e287c70a-3b01-4053-8122-097b2f50948b,USD,true,true,0.929995,-0.112002,-0.112002,2.494161
34c8fd64-3b01-4118-abd8-b1e98f46f97e,USD,true,false,0.653398,3.140696,,3.140696
55fb47c3-f9f6-400c-a525-cda46f6d319a,USD,true,true,0.905084,-0.315777,-0.315777,2.284439
a2ccb24a-12e0-4ad2-9ebe-263212d28fe7,EUR,true,true,0.865324,-0.150942,-0.150942,2.056589
bfbedfd1-b4f8-4d63-9c1c-c7956edcd682,USD,true,true,1.005952,-0.080272,-0.080272,-0.243593
5a7044b8-f558-45dc-ba41-afc05d304eea,CHF,true,true,0.815049,-2.936922,-2.936922,1.267802
c1af1c90-560a-44b3-8969-1eae9c3f2888,EUR,true,true,0.938907,-0.087833,-0.087833,1.278664
61262116-bc95-4b38-80bd-d877a6bfedf4,USD,true,true,0.909816,-0.484944,-0.484944,1.069578
6edae7da-98a9-40c8-84f0-4d6800159eae,EUR,true,true,0.982054,-0.111284,-0.111284,1.189891
fde36ebb-55a3-4106-918c-db8da6588822,EUR,true,true,0.693147,-4.066267,-4.066267,1.723404
4cf8d2cf-ecc7-444c-8588-0b8da39e6990,USD,true,true,0.969225,-0.080161,-0.080161,1.684188
e9f88524-200a-431d-ad04-aa23872ac3ac,EUR,true,true,0.547434,-0.572820,-0.572820,1.150238
3cbb73a1-ba37-46a6-9a57-3b8258eba533,USD,true,true,0.894603,-0.433778,-0.433778,1.364908
702874e9-9994-41ac-b3bf-223f8ef7d815,EUR,true,true,0.864447,-1.854361,-1.854361,0.719174
eecc8206-3acf-441d-a7a9-5206edbe7eca,EUR,true,true,0.786181,-2.010400,-2.010400,1.053810
f3e5fc52-65de-4637-baee-9cea0095f1ca,USD,true,true,0.554461,-1.755684,-1.755684,1.178061
0cafe1d3-08df-4e66-8bf5-5c186387dd99,USD,true,true,0.936977,-0.719131,-0.719131,1.305087
2b1bf1ac-4f90-4f73-b6d5-cff67323d8a4,USD,true,true,0.813774,-2.183959,-2.183959,0.805840
5e34e30c-33d4-4802-b907-e8687642c9d9,EUR,true,true,0.971814,-0.166393,-0.166393,0.626323
8456da7e-9e74-4081-9d17-86d5ea470c78,EUR,true,true,0.897935,-0.513738,-0.513738,0.990489
343b6090-8b49-44ed-9d0d-80f883b04f32,USD,true,true,0.987255,-0.880914,-0.880914,0.596462
58eb7a6e-5871-4244-8151-92372d8cd92a,EUR,true,true,0.863014,-0.956170,-0.956170,1.022354
5e1a2d4b-60b6-4267-bfd5-44fc9f3fce94,USD,true,true,0.994097,-0.743318,-0.743318,0.095669
08132dce-fdea-496f-b4f9-b8e8a4361698,SGD,true,true,0.880780,-0.038482,-0.038482,0.761679
69dc9743-a419-4508-a581-106406cc6f57,USD,true,true,0.405090,-1.575425,-1.575425,0.593316
042d753a-fc41-4d2a-aecd-bd94485dc1e2,USD,true,true,0.808751,-2.146331,-2.146331,0.625063
46f32a8d-e56b-470b-a408-c268f0a397de,EUR,true,true,0.867848,-1.127547,-1.127547,0.908797
96f42388-515a-4967-aaaf-15a824afdaae,USD,true,true,0.969690,-0.178742,-0.178742,0.259944
7585857c-7b09-490a-a214-c31cb60d5203,USD,true,true,0.607230,-0.751687,-0.751687,1.434351
b069e747-dfe2-4e5a-84a1-e0cf2df9507b,EUR,true,true,0.985723,-0.801554,-0.801554,-0.000395
d8f10974-a9e5-4f0c-9d4e-30f5f8f314b5,USD,true,true,0.522945,-0.577041,-0.577041,1.302705
8a601d31-8197-40fd-b387-d0edf603a447,USD,true,true,0.933204,-0.968383,-0.968383,-0.686047
b750db85-813a-40ba-b155-23f9b7c12647,EUR,true,true,1.007437,-0.805304,-0.805304,0.259410
4d8d9f55-e347-4549-8781-e6bf2b3d2cdf,SEK,true,true,0.279031,-0.019884,-0.019884,0.041596
a006ac3f-b7e7-4187-b9c3-cbb0b60fc640,USD,true,true,0.863382,-2.418972,-2.418972,-0.010023
d000100a-2002-487c-9403-555ad9baa4a6,USD,true,true,1.003455,-0.745992,-0.745992,-0.745992
1daa7a59-0239-4d8b-a1cc-b3e1b65b99d8,EUR,true,true,0.999861,-0.148281,-0.148281,0.142992
7ceb3e91-a189-4322-9ada-986b072685ac,USD,true,true,0.936653,-1.948879,-1.948879,-0.221845
adc0afb5-47b0-45f8-816f-e465ca82ec25,EUR,true,true,0.957260,-0.976533,-0.976533,-0.197852
18c00dad-ff81-46be-8c88-c38ff89d408e,INR,true,true,0.979536,-0.003666,-0.003666,-0.003666
4c0b8f5b-f23b-4a0f-b5da-e71d83f1a805,USD,true,true,1.017527,-0.443755,-0.443755,-0.443755
49a99267-1662-4b14-8dad-05b58d7df8dd,CNY,true,true,1.051396,-0.016795,-0.016795,-0.016795
43bdcfdf-1ec2-432f-acad-bb930bae7bab,USD,true,true,0.895242,-2.427748,-2.427748,-0.339308
0d5d4103-8345-4b7b-9021-64d980a2d3dd,CNY,true,true,1.039758,-0.032756,-0.032756,-0.032756
2691cd39-2ed8-499c-82f0-4104016db848,CNY,true,true,1.027947,-0.040467,-0.040467,-0.040467
816e00b2-e69e-455a-9135-f00e70a69186,CNY,true,true,1.045613,-0.044986,-0.044986,-0.044986
8b1d4ca8-aad5-4017-9ce8-8163f3fc078e,CNY,true,true,1.062813,-0.047018,-0.047018,-0.047018
c572994e-dd18-441e-bd16-932b12dff677,CNY,true,true,1.025622,-0.046587,-0.046587,-0.046587
f4e0a147-f158-4ccd-a31e-b60522e0f387,USD,true,true,1.009132,-0.229858,-0.229858,-0.229858
695fc691-6855-4c4c-97bc-274f302f1390,EUR,true,true,0.854350,-2.640121,-2.640121,-0.531998
e883713a-e3f0-4f11-ba5f-0d4112399580,USD,true,true,1.010407,-0.080663,-0.080663,-0.244334
c3d6f8a3-0626-4972-a77c-65c00432e915,USD,true,true,1.006082,-0.081528,-0.081528,-0.244749
d0cdeb4a-3413-4085-92fe-fef018a14e0f,USD,true,true,1.049980,-0.086171,-0.086171,-0.486342
87f13dae-40aa-4978-86f5-3d98cc763b92,CNY,true,true,1.020134,-0.079546,-0.079546,-0.079546
196b29c8-61a5-40ac-98c2-7370cd3cd59d,USD,true,true,1.028818,-0.022412,-0.022412,-0.022412
58bf6400-2194-48f7-8075-548267d106e1,USD,true,true,1.037603,-0.022557,-0.022557,-0.022557
65b0ba26-604c-4725-9e92-0c0e6b40591c,CNY,true,true,1.024202,-0.087230,-0.087230,-0.087230
5a1398b2-6786-41b8-a790-75d9c6189729,USD,true,true,1.056312,-0.036977,-0.036977,-0.036977
9e086612-d314-4b68-a41c-16020f2d158f,CNY,true,true,1.032907,-0.117407,-0.117407,-0.117407
bf495230-755d-4477-97ab-cab95a30a280,USD,true,true,0.910084,-2.356005,-2.356005,-0.277459
fba47f75-b459-41f4-ba3b-de95255b816c,USD,true,true,0.992772,-0.082651,-0.082651,-0.047132
