id,ytm,ytw,ytc,ytp
943dcf06-0086-43cf-a05e-967b7c90ec96,0.050731,0.050731,,
df797bc5-d1e7-4687-afbe-d105051c6a0c,0.005149,0.005149,,
44af4303-27f9-4afe-83b4-7b7e23191d62,0.061935,0.061935,,
ec243d98-e4fd-4dce-8f9a-fbb257190e54,0.004476,0.004476,,
9a9404a8-4c81-4af3-9c71-2b4e40a11943,0.052663,0.052663,,
3fcbd00c-3d1b-480d-b7e6-31090879da56,0.054245,0.054245,,
d86ebe7b-c361-407f-a542-80b393035c43,0.057027,0.057027,,
a564031d-9ef6-40cd-b9ca-157a2871aada,0.035512,0.035512,,
017de1be-a917-4c84-9dc4-c36b7a811b5f,0.015958,0.015958,,
bc0e5da6-268c-49fb-b1b9-6eb9749cb089,0.036391,0.036391,,
f0ee13f0-684f-4e95-8d09-ae830cd3674a,0.055204,0.055204,,
41bbeb83-0d49-4623-a2f5-1a075b0156ed,0.053050,0.053050,,
5609e783-bbca-4da0-94c3-e6e3ab6e95df,0.053171,0.053171,,
36efc5ac-ae4c-4863-bd06-26bb54ae5817,0.053094,0.053094,,
d8c99008-5fe7-4d0e-9f9b-01ec046ead00,0.052466,0.052466,,
31b6ae39-2ffc-4b7b-bf33-20c3ef0a132e,0.056979,0.056979,,
ace66819-abb9-4fce-a6e1-3fa989893f0b,0.036951,0.036951,,
26e03fb5-6964-4a70-a619-c1f8afe38ae5,0.046972,0.046972,,
32e784b6-0afc-4031-9b30-c41fe84a1bb1,0.037117,0.037117,,
6794ad22-8ad3-4bc7-b88a-12754839a9a7,0.032793,0.032793,,
757a23b8-a8d1-4409-aeee-5582848a0632,0.024722,0.024722,,
6401ba7a-355e-49a8-b47e-ecb0b4c0110a,0.042842,0.042842,,
ddf8306e-63b9-40a2-b260-153737ab1f90,0.035013,0.035013,,
fb396921-1a1b-44c6-89f1-51157799dcb4,0.039494,0.039494,,
015c33b5-ce51-40a0-bd0c-51913c31e12c,0.058509,0.058509,,
52b77021-0fc0-460c-a568-2dceb857fc71,0.053060,0.053060,,
f42146e9-1607-46e4-9e3d-532e0b28a696,0.037540,0.037540,,
05a40cae-41c2-432b-b298-d493281646f7,0.021366,0.021366,,
3fd79045-090d-480e-894d-5638b24df41e,0.053082,0.053082,,
03af8deb-786c-4a60-8bf7-326542c1bbe0,0.069575,0.069575,,
4cbacb8a-20e2-4335-8f87-5a218cd08090,0.044049,0.044049,,
10143ea2-16af-4ce1-9967-93649c48b736,0.031785,0.031785,,
e67e3304-44c2-46ee-b1bc-2cc8df8fea4b,0.052530,0.052530,,
1d1fde7a-9cce-4164-a985-71a7cc8782c2,0.046281,0.046281,,
507868cf-11cf-4d3f-b525-3acc870ef30b,0.075901,0.075901,,
38091360-8c67-4857-bd05-e860d070f3fc,0.032458,0.032458,,
3d218dc8-01af-489f-bceb-5942970e69da,0.058264,0.058264,,
974e441d-14c9-4de6-9e0e-41ac4365a141,0.082492,0.082492,,
63012878-394d-4c31-9785-c565fb4093ed,0.053101,0.053101,,
51579444-69d7-4975-aed7-c0a8e7d14442,0.087450,0.087450,,
a256a37f-3dab-4e8a-8791-35492f7410ee,0.006605,0.006605,,
4d7ca155-03ef-48c8-ae78-c0a04c0d4a25,0.059351,0.059351,,
61d991a1-6b2c-482e-a241-71bbd58c3396,0.059904,0.059904,,
f0389d73-b733-4557-b521-91213243ff6d,0.052971,0.052971,,
3d54f968-be71-4776-8b61-c233ff3f09b0,0.045169,0.045169,,
44598013-db15-48b3-8566-01d5c0d8f120,0.037654,0.037654,,
326bd980-3d8d-4ba4-827d-b71a87cc5b30,0.052990,0.052990,,
79defead-6385-46b9-9684-3c3e057a1227,0.057752,0.057752,,
43d56973-ed5e-4f84-8e85-658223c9d1e1,0.029928,0.029928,,
7db0b140-247b-480e-b0bf-1438ae064279,0.045994,0.045994,,
fe3b2998-7abd-451f-a658-c99b17d34ddd,0.047886,0.047886,,
